human_readable_id,uuid,question_text
1,372776dc-1679-45e9-a243-2dd1db087584,"Please select your preferred language:"
2,06756ea0-1533-4788-aeab-23d1800c93ff,"How old are you?"
3,87285795-4447-476a-ac10-21ffc0157874,"What is your gender?"
4,fdda5da2-f164-4708-b5dc-58aac4ffe4a9,"What best describes where you live?"
5,28cfe238-1c8f-476f-8c57-48b8ca1071a7,"Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…"
6,6c691942-927a-42f4-9711-7239b05f2393,"What religious group or faith do you most identify with?"
7,04879162-d29a-4b45-b1cf-71468825b7ef,"What country or region do you most identify with?"
12,0b473fbf-be43-4c32-a805-1275d54ac9ef,"Thinking about the last three months, how often, if at all, have you noticed AI systems in your daily life?"
13,f24f304d-b314-401a-a259-ce0596ad77d4,"Thinking about the last three months, how often, if at all, have you noticed human interactions which have been replaced with automated systems?"
14,f66d16d1-630b-4aba-8c2d-a96961fcb03e,"Thinking about the last three months, how often, if at all, have you been expected to use an AI system at work?"
15,2cbb900b-8d9f-4c7e-a558-3a5376e8ce5c,"Thinking about the last three months, how often, if at all, have you personally chosen to use an AI system at work?"
16,e3f96004-866e-46e6-be4a-1e83a3e709f8,"Thinking about the last three months, how often, if at all, have you personally chosen to use an AI system in your personal life?"
17,d2af725e-0391-4019-9ade-31f25162b6f0,"Thinking about the last three months, how often, if at all, have you interacted with AI systems to get advice on a sensitive personal issue or to get emotional support?"
18,6d18ebd0-402c-4db9-a61f-14527e77874a,"Thinking about the last three months, how often, if at all, have you interacted with AI systems to complete an action in the real world on your behalf without your supervision?"
19,a677abf6-c067-482c-92a0-7ee69fc8a343,"What has been the most noticeable change in your daily life, if any, as a result of AI in the past year?"
20,6630ff34-e67e-423a-9cea-0a4861106680,"Considering both potential benefits and risks, how do you assess the overall impact on society of messaging apps?"
21,2f828d26-4a15-4f80-8c4b-5b0c833caecd,"Considering both potential benefits and risks, how do you assess the overall impact on society of social media apps?"
22,e2b01bdb-722a-480d-b303-182eed6b83b6,"Considering both potential benefits and risks, how do you assess the overall impact on society of AI chatbots?"
23,29598fc6-6928-49f7-9a42-2f57cf5e1c28,"Considering both potential benefits and risks, how do you assess the overall impact on society of AI systems that can perform tasks in the real world without human supervision?"
24,23d5fd25-2168-4fd3-bd18-efafd73c6f2a,"Considering both potential benefits and risks, how do you assess the overall impact on society of AI systems that can outperform humans on most economically valuable work?"
25,25e16598-f3a7-411d-b4cb-736c91bc3d03,"To what extent, if at all, do you generally trust governments to do what is right?"
26,c002632e-4356-4f98-9191-f86412fe48a7,"To what extent, if at all, do you generally trust small businesses to do what is right?"
27,e70a42e6-c1c0-43c6-a389-d28347e17f2f,"To what extent, if at all, do you generally trust large corporations to do what is right?"
28,be27a244-3429-417d-8517-de800bc90acf,"To what extent, if at all, do you generally trust social media companies to do what is right?"
29,d7943aa5-3a9f-4161-9d2b-651c71d92c73,"To what extent, if at all, do you generally trust companies building AI to do what is right?"
30,334a0ebd-4c3e-44d2-ac51-13fb444c069a,"To what extent, if at all, do you generally trust public utility companies to do what is right?"
31,865926b0-3032-4d3a-bbc2-80c102d549bb,"To what extent, if at all, do you generally trust public research institutions to do what is right?"
32,85d29925-21b5-4b25-9fe0-5df069945870,"To what extent, if at all, do you trust your family doctor to act in your best interest?"
33,144768d5-2b91-4c55-9935-98a246c6d3bf,"To what extent, if at all, do you trust your social media feed (eg TikTok, Facebook) to act in your best interest?"
34,5b8a5926-74e0-4500-b57f-76d5b912ea2f,"To what extent, if at all, do you trust your elected representatives to act in your best interest?"
35,dbe2139a-1d10-48e6-861a-f64260d01659,"To what extent, if at all, do you trust your faith or community leader to act in your best interest?"
36,5af76eba-316e-489f-a57e-0498a5768643,"To what extent, if at all, do you trust the civil servants in your government to act in your best interest?"
37,32a41e36-1567-42e8-8636-39d21f87550a,"To what extent, if at all, do you trust your AI chatbot (eg ChatGPT) to act in your best interest?"
38,05f81a31-a904-4ed2-8fa1-68fb561de3b9,"Explain why you gave that trust score to your AI chatbot."
39,e5d7cc7b-d2cc-4b34-9c25-af67f8b7b83c,"Do you agree or disagree with this statement? AI could make better decisions on my behalf than my government representatives."
40,7ecf1a2a-b34a-40a3-b481-a6eb15883b18,"Do you think the increased use of AI across society is likely to make your cost of living better, worse or stay the same in the next 10 years?"
41,015a07c1-b996-4bde-b412-e79c314cf761,"Do you think the increased use of AI across society is likely to make the amount of free time you have better, worse or stay the same in the next 10 years?"
42,372d603d-460c-4691-8656-d256f84a6583,"Do you think the increased use of AI across society is likely to make your community's well-being better, worse or stay the same in the next 10 years?"
43,c6c411f0-409e-4518-9763-813738535308,"Do you think the increased use of AI across society is likely to make the availability of good jobs better, worse or stay the same in the next 10 years?"
44,ac4c9ca2-d2e7-4b35-afe2-b3b2174ee030,"Do you think the increased use of AI across society is likely to make your sense of purpose better, worse or stay the same in the next 10 years?"
45,5dd17247-f85e-4419-b7d4-4130e0df0b77,"So far, what has been the overall impact of AI on your daily life?"
46,22b7dc74-6101-4c0f-b6ee-c666ba7fc324,"Is your job making a meaningful contribution to the world?"
47,b94b8fa4-40ea-4a43-80a5-d7db02df1951,"Do you think your job is likely to be automated in the next 10 years?"
48,800f0a14-aa6e-4e86-900b-1c40d3810603,"Do you think your job should be automated in the next 10 years?"
49,52bbba43-5119-43a8-9bb1-5596c3ad8a1c,"So far, how has your community been affected by job loss from automation?"
51,02e1e447-c6e1-44ed-86c9-226f2c72b5c6,"I feel in tune with the people around me."
52,c1ffd634-9209-4440-9804-4b397d7bfa8c,"I lack companionship."
53,e787d98a-e40b-493b-875f-f59169cc849c,"There is no one I can turn to."
54,5ab3d437-9098-4f12-9ede-ae9aa0fb7d36,"I feel alone."
55,dcb90e98-ab77-4dd7-a204-8a3b36b1f72f,"I feel part of a group of friends."
56,a8c7a309-9e7e-4e8f-960f-d94acc97614b,"I have a lot in common with the people around me."
57,2a16a259-3822-4efe-a1df-100a55a83896,"I feel isolated from others."
58,a2cd2134-b0a1-4610-a40c-66c6cf3bd0af,"I can find companionship when I want it."
59,4baa8683-eee5-4152-b402-0946f50b6a46,"How many children do you have?"
60,f96023f2-33a7-46ef-b607-a7b26a64423a,"Are you a parent or guardian to any children under the age of 18 who live with you some or all of the time?"
61,4b5fccdd-0613-4d6e-bb96-3c5e5941b75a,"How many children under the age of 18 live with you some or all of the time?"
62,8ff3a13c-4d23-4556-bd78-6d39836a5fbd,"What is your current marital or relationship status?"
64,512c7b5d-035f-44c9-b8b9-5dffa9ba7548,"Please select the AI tools that you have heard of"
65,a6b2e02d-8b72-4aa4-8a57-2af17d3c6edc,"Which of these have you tried, even once?"
66,f6323f3b-de97-4be6-9c48-f55ff9e65f66,"How familiar are you with AI applications or websites that are designed for companionship, emotional support, or extended conversations (sometimes called AI companions, AI friends, or chatbots for emotional connection)?"
67,cb65b063-bff3-4cac-a827-dbab6693e307,"Have you ever personally used an AI application, website, or chatbot specifically for companionship, emotional support, or extended conversation?"
