ID,Type,Text,Summary
53997aea-a414-4e43-9dd8-a72a5964dbcf,Conversation,How much do you trust AI?,"Across more than 1,000 participants, AI is highly visible and routinely used—especially daily for work and personal tasks—yet unsupervised real‑world delegation remains minority behavior. Perceived impacts skew positive for daily life, cost of living, free time, and community well‑being, but participants are pessimistic about “good jobs,” split on purpose, and ambivalent to cautiously positive about chatbots; they view autonomous real‑world AI and human‑outperforming systems more skeptically. Trust is highest in family doctors and public research, moderate for utilities and small businesses, mixed for AI companies, and lowest for social media and government/elected representatives. People “somewhat trust” AI chatbots but demand verification, transparency, and human oversight; many think AI could decide better than representatives, though uncertainty is large. Users want consent‑by‑default control, strict data governance (especially for private/group messages and contacts), the ability to view/edit/delete data, clear sources and step‑by‑step rationales, immediate refunds for financial errors, and automatic human handoff on mistakes. For a family wellbeing AI, participants prefer permission over speed, helpful/respectful tone, strong personalization with memory, culturally aware language, and domestic developers increase comfort; they allow proactive, privacy‑preserving suggestions for health, nutrition, and bills but reject autonomous decisions on money, contracts, medical treatment, children, or identity‑based communications. The biggest risks cited are privacy breaches, loss of control, and harmful or unethical decisions; accountability should rest primarily with the builder. Overall sentiment is cautious optimism—users report real efficiency gains and frequent use, pair them with strong safeguards and human‑in‑the‑loop expectations, and remain wary where stakes, opacity, or data sharing rise."
f94dae77-595e-4766-84eb-6aaaef59cb26,Ask Experience,Please enter your Prolific ID,"The Remesh opinion question asked participants to enter their Prolific ID, eliciting brief, identifier-style responses rather than narrative content. Participation was broad across population segments, and the dataset reflects high compliance with the prompt, with most entries appearing as alphanumeric strings that resemble Prolific IDs (e.g., “665017cd16c82792f5b364ef,” “66c74868a5ed218ada5b93a1,” “5e7d2f16e863ba0d96dc610f”). The presence of repeated submissions (e.g., “66e34b8c7794ea31ff3f31cf” appears more than once) and occasional non-standard entries (e.g., “ocharo”) indicates limited variability in format adherence alongside isolated deviations. Representative responses span older-looking IDs (e.g., “5c41e9263be7b70001fcf4ab”) and newer-looking IDs (e.g., “66ca1c321a8e2b7f6bf01c79”), suggesting a mix of long-tenured and newer participants. Overall, findings point to a dataset dominated by properly formatted alphanumeric identifiers, with notable consistency in structure and isolated anomalies that may merit data validation checks."
345c2b91-6de9-4c51-8288-922f9a39a650,Poll,"Thinking about the last three months, how often, if at all, have you noticed AI systems in your daily life?","In this Remesh poll question, 1,046 participants across 231 population segments were asked: ""Thinking about the last three months, how often, if at all, have you noticed AI systems in your daily life?"" The findings indicate a notable level of AI salience in everyday contexts. A large majority reported frequent exposure: 76.0% selected ""daily"" and 21.0% chose ""weekly,"" yielding 97.0% noticing AI at least weekly. Only 3.0% selected ""monthly,"" while 0.0% chose ""annually"" and 0.0% chose ""never,"" underscoring the near-universal visibility of AI systems in recent months. These results suggest that AI has become a routine feature of participants’ daily experiences, with the ""daily"" share (76.0%) notably exceeding the combined less-frequent categories (24.0%). The absence of ""annually"" and ""never"" responses supports the conclusion that encounters with AI are pervasive rather than sporadic."
7a5f9a6d-579b-4117-bb89-c4b92514e466,Poll,"Thinking about the last three months, how often, if at all, have you noticed human interactions which have been replaced with automated systems?","In this Remesh poll question fielded to 1,046 participants across 231 population segments, respondents were asked: ""Thinking about the last three months, how often, if at all, have you noticed human interactions which have been replaced with automated systems?"" Overall, the modal response was ""weekly"" at 46.0%, indicating that almost half of participants encounter automation displacing human interactions on a routine basis. A notable 26.0% reported ""daily"" exposure, suggesting frequent, ongoing contact with automation in everyday contexts. An additional 20.0% selected ""monthly,"" implying periodic but recurrent observation. Only 3.0% chose ""annually"" and 4.0% reported ""never,"" underscoring that reports of rare or nonexistent exposure are uncommon. Taken together, 92.0% of participants selected ""daily,"" ""weekly,"" or ""monthly,"" pointing to widespread and regular visibility of automation replacing human interactions over the past quarter. As one key distributional marker, the combined share of ""daily"" and ""weekly"" responses (72.0%) notably exceeds infrequent categories, reinforcing the perception that such changes are routine rather than exceptional."
56f4b20b-87f9-4aa0-afed-adaffe5fbd91,Poll,"Thinking about the last three months, how often, if at all, have you been expected to use an AI system at work?","In this Remesh poll question (n=1,045) spanning 231 population segments, participants were asked: “Thinking about the last three months, how often, if at all, have you been expected to use an AI system at work?” Results indicate widespread and frequent expectations to use AI at work. A plurality reported daily expectations (“daily”: 43.0%), and an additional one-third reported weekly use (“weekly”: 32.0%), suggesting that 75.0% encounter at least weekly expectations. Less frequent expectations were comparatively rare (“monthly”: 10.0%; “annually”: 1.0%), while a minority reported no expectation to use AI (“never”: 14.0%). These findings point to a notable integration of AI into routine work processes, with daily use emerging as the modal experience. The distribution—“daily” at 43.0% and “weekly” at 32.0%—underscores that regular interaction with AI systems is now a common workplace expectation across participant segments, while the 14.0% reporting “never” highlights a subset of roles or environments where AI expectations have yet to materialize."
df84db18-d207-47ae-ab9a-2f3339642576,Poll,"Thinking about the last three months, how often, if at all, have you personally chosen to use an AI system at work?","In the Remesh poll question on workplace AI adoption over the past three months, a total of 1,045 participants across 231 population segments reported frequent voluntary use. A majority (51.0%) said they use AI “daily,” indicating routine integration into work tasks. An additional 32.0% reported “weekly” use, while 7.0% selected “monthly” and 1.0% chose “annually,” suggesting more occasional engagement. Only 9.0% said “never,” underscoring broad penetration. Overall, 91.0% reported at least some use. The distribution highlights a notable normalization of AI tools in everyday workflows, with the highest intensity reflected in the “daily” group. The pattern—“daily” (51.0%), “weekly” (32.0%), “monthly” (7.0%), “annually” (1.0%), and “never” (9.0%)—suggests that adoption is concentrated among frequent users, with limited resistance or barriers among participants."
da2fed27-d29a-416d-ab49-a5c2c037187b,Poll,"Thinking about the last three months, how often, if at all, have you personally chosen to use an AI system in your personal life?","In this Remesh poll question fielded among 1,045 participants across 231 population segments, reported personal use of AI systems in the prior three months is notably frequent. A majority, 51.0%, selected “daily,” while another 35.0% reported “weekly,” indicating that 86.0% engage with AI at least weekly. Less frequent use was comparatively limited: 9.0% chose “monthly,” 1.0% “annually,” and only 3.0% “never.” These findings suggest widespread and routine adoption, with the central tendency skewed toward high-frequency use. The proportion claiming any use (97.0%) is notable, and daily use alone constitutes a slim majority (“daily” at 51.0%). Weekly use (“weekly” at 35.0%) forms the second-largest cohort, underscoring that regular engagement with AI has become mainstream among participants."
770c5dc2-7f4a-4fd0-84eb-351ff475647e,Poll,"Thinking about the last three months, how often, if at all, have you interacted with AI systems to get advice on a sensitive personal issue or to get emotional support?","In the Remesh poll question fielded to 1,044 participants across 231 population segments, reported engagement with AI for advice on sensitive personal issues or emotional support is widespread and varied in frequency. A combined 64.0% reported some level of engagement in the last three months, while 30.0% reported 'never'. Regular usage is notable: 12.0% reported 'daily' and 27.0% reported 'weekly', indicating that nearly four in ten participants (39.0%) use AI for these purposes at least weekly. Another 25.0% reported 'monthly', suggesting periodic but recurring reliance, and 6.0% reported 'annually', indicating infrequent use. The distribution highlights a notable adoption gradient, with a substantial minority engaging at high frequency ('daily' or 'weekly') and a comparable share opting out entirely ('never' at 30.0%). These findings suggest AI is serving as a recurring support resource for many, while a notable portion remains disengaged."
daef59cb-9613-4468-81a8-d31ec8318ab7,Poll,"Thinking about the last three months, how often, if at all, have you interacted with AI systems to complete an action in the real world on your behalf without your supervision?","In this Remesh poll question, 1,042 participants across 231 population segments reported how often, in the past three months, they interacted with AI systems to complete unsupervised real‑world actions. Adoption appears concentrated among a minority: 42% reported some level of use, while a majority—""58.0%""—selected ""never."" Among users, reported frequency skews toward intermittent engagement: ""17.0%"" chose ""weekly"" and ""14.0%"" chose ""monthly,"" compared with ""8.0%"" reporting ""daily"" use. Low ongoing reliance is reflected in the small share selecting ""annually"" (""3.0%""). The distribution suggests that while routine, high-frequency use exists among a notable minority, mainstream uptake remains limited, with a large non-user base. The weekly share outpaces daily by more than two-to-one (""17.0%"" vs. ""8.0%""), indicating habitual but not constant use patterns. Overall, the findings point to early-stage diffusion marked by notable awareness and trial among some participants, yet with persistent barriers or limited perceived need for unsupervised, real‑world AI delegation for most."
cf6fce2e-8427-4304-ab0b-c5d7649ab276,Poll,"In the past month, did you use an AI assistant to take actions for you? (for example: send a message, book or pay for something, submit a form, control a device, or run a script) Specifically where the AI actually carried out the action, not only gave advice or text for you to use.","This Remesh poll question asked 1,041 participants whether, in the past month, they used an AI assistant to take actions on their behalf (e.g., sending messages, booking services, paying, submitting forms, controlling devices, or running scripts), emphasizing that the AI must have executed the action rather than only providing advice. Participants could select multiple options across 12 categories and belonged to 231 population segments.Overall, action-taking by AI appears present but uneven across domains. A notable 32.0% selected ""None of the above,"" indicating about one-third did not delegate any actions to AI. Among those who did, the highest reported categories were ""Automated tasks or workflows (code, scripts, connected apps/services)"" at 29.0%, ""Created or published content (documents, websites, articles)"" at 29.0%, and ""Researched options and took action (compared, then ordered/booked/hired)"" at 28.0%. Communication tasks were also common: 22.0% reported ""Communicated on your behalf (sent messages, emails, made calls, posted to social media)."" Operational and transactional uses were less prevalent but present: 14.0% ""Scheduled or booked services,"" 11.0% ""Submitted official documents,"" 10.0% ""Managed work, farm, or business operations,"" and 9.0% ""Completed financial transactions."" More specialized or community-oriented uses were lower: 12.0% ""Assisted with accessibility or health needs,"" 7.0% ""Organized community or group activities,"" and 5.0% ""Other.""Taken together, the results indicate broad but varied adoption: while nearly one-third report no action-taking use, roughly two-thirds engaged AI for at least one direct action, with notable emphasis on workflow automation, content creation, and end-to-end research-to-action tasks. Reported figures such as ""29.0% automated tasks,"" ""29.0% created or published content,"" and ""22.0% communicated on your behalf"" underscore a pattern of practical, productivity-oriented applications, whereas lower rates for financial transactions (9.0%) and community organizing (7.0%) suggest more cautious or niche use in higher-stakes or collective contexts."
dc9c2bdc-d48d-4edc-9b5e-6f5d2faba4fb,Ask Experience,"What has been the most noticeable change in your daily life, if any, as a result of AI in the past year?","Context: A Remesh opinion question asked participants, “What has been the most noticeable change in your daily life, if any, as a result of AI in the past year?” Participants offered narrative responses and self-categorized them. Findings: Across representative responses, participants describe AI as increasingly embedded in everyday routines, with recurring themes of time savings, efficiency, and easier access to information. Many characterize AI as a daily tool for drafting, brainstorming, organizing, and translation, citing concrete benefits such as “increased efficiency and convenience,” “faster” completion of routine tasks, and “quick, reliable help with tasks.” Respondents frequently report improved productivity at work and in personal life, including drafting emails, structuring ideas, summarizing information, planning travel, managing schedules, and receiving reminders. Several note enhanced learning support and study effectiveness through tools like “ChatGPT, Co-Pilot,” and streamlined research with “direct answers” that reduce the need for “boring researches.” Some point to broader ecosystem shifts, including AI-driven search results, writing assistants, chatbots, and “personalized recommendations” in social media and streaming. A subset raises concerns about authenticity and privacy, describing AI-written emails as “disingenuous,” and expressing worry that “sensitive data can be accessed by unauthorized personnel” and potential impacts on youth development and creativity. Others report limited or no change (“none”) or mixed feelings about increased reliance on AI that “has made life more efficient but also less personal.” Overall, the narratives emphasize notable gains in speed, clarity, and convenience—“work gets completed faster,” “I sleep more and relax more”—balanced by apprehensions about data risk, depersonalization, and overreliance."
0625fc89-8b0d-432c-a526-b3588b7edbeb,Poll,"Considering both potential benefits and risks, how do you assess the overall impact on society of messaging apps?","In the Remesh poll question assessing the perceived societal impact of messaging apps, 1,034 participants across 231 population segments provided single-choice responses. The distribution indicates a net-positive orientation: 55.0% reported benefits outweigh risks (""Benefits slightly outweigh risks"" 32.0%; ""Benefits far outweigh risks"" 23.0%), compared with 17.0% reporting the opposite (""Risks slightly outweigh benefits"" 11.0%; ""Risks far outweigh benefits"" 6.0%). A notable 27.0% judged impacts as balanced (""Risks and benefits are equal""). This pattern suggests a broad, though not unanimous, optimism about messaging apps’ societal effects. The midpoint response indicates considerable ambivalence among over a quarter of participants, while the combined pro-benefit share more than triples the combined risk-dominant share, pointing to a notable tilt toward perceived benefits. As one framing from the response options captures, many participants see “Benefits slightly outweigh risks” (32.0%), with a substantial minority asserting “Benefits far outweigh risks” (23.0%). Overall, the data signal a notably positive net assessment, tempered by meaningful concerns and a substantial segment perceiving a balanced trade-off."
b894e8ff-78fd-4213-b0a3-8d81cde284b2,Poll,"Considering both potential benefits and risks, how do you assess the overall impact on society of social media apps?","In the Remesh poll question assessing the overall societal impact of social media apps, 1,034 participants across 231 population segments provided single-select responses. The distribution reveals a centered but slightly positive tilt: 30.0% reported that “Risks and benefits are equal,” the modal response; 24.0% said “Benefits slightly outweigh risks”; and 10.0% chose “Benefits far outweigh risks,” yielding 34.0% who see a net benefit. Conversely, 22.0% indicated “Risks slightly outweigh benefits” and 14.0% said “Risks far outweigh benefits,” totaling 36.0% perceiving a net risk. The near balance between net-benefit (34.0%) and net-risk (36.0%) views, combined with the largest share selecting equilibrium (30.0%), suggests a broadly ambivalent landscape with a marginal lean toward concern. Notable findings include the relatively small share at the extremes—“Benefits far outweigh risks” (10.0%) versus “Risks far outweigh benefits” (14.0%)—indicating polarization exists but is not dominant. In sum, participants’ assessments are mixed, centered on equivalence, with a slight skew toward perceiving more risks than benefits overall."
0a526274-32bc-4566-86c0-5015e80208c1,Poll,"Considering both potential benefits and risks, how do you assess the overall impact on society of AI chatbots?","In a Remesh poll question assessing perceptions of AI chatbots’ overall societal impact, 1,033 participants across 231 population segments expressed a cautiously positive outlook. A plurality viewed benefits as outweighing risks: 33.0% reported “Benefits slightly outweigh risks,” and 20.0% selected “Benefits far outweigh risks,” totaling 53.0% favoring a net-positive impact. A notable 25.0% indicated balance (“Risks and benefits are equal”). Negative assessments were smaller in aggregate: 15.0% chose “Risks slightly outweigh benefits,” and 7.0% said “Risks far outweigh benefits,” summing to 22.0%. These distributions suggest a skew toward optimism, with more than half reporting a favorable balance while one-quarter remain neutral. The findings indicate that, while concerns persist, especially on the margin, participants lean toward net benefits—“Benefits slightly outweigh risks” (33.0%) being the most common single response—pointing to a notable though cautious endorsement of AI chatbots’ societal impact."
a5d5196f-4f5e-4b57-a26f-3baedb054cb6,Poll,"Considering both potential benefits and risks, how do you assess the overall impact on society of AI systems that can perform tasks in the real world without human supervision?","In the Remesh poll question assessing the societal impact of AI systems that can perform real-world tasks without human supervision, 1,033 participants across 231 population segments provided single-select responses. The distribution indicates a cautious to skeptical outlook: 46.0% perceive risks as outweighing benefits (""Risks far outweigh benefits"" at 20.0% and ""Risks slightly outweigh benefits"" at 26.0%), while 29.0% see benefits outweighing risks (""Benefits slightly outweigh risks"" at 20.0% and ""Benefits far outweigh risks"" at 9.0%). A quarter (25.0%) report neutrality, selecting ""Risks and benefits are equal."" This pattern suggests a notable risk-sensitive stance, with a modest pro-benefit minority and a substantial neutral bloc. The 17-point gap between those prioritizing risks (46.0%) and those prioritizing benefits (29.0%) underscores a notably cautious public orientation toward unsupervised real-world AI. Qualitative interpretation is reinforced by the balanced center—""Risks and benefits are equal"" (25.0%)—which indicates ambivalence and potential responsiveness to evidence on safety, governance, and demonstrable value. Overall, the results highlight a notable trust and safety barrier for deployment at scale, with sentiment concentrated toward risk awareness rather than optimism."
