Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7
aac7c89e-3fb7-4e86-9d51-08823e9bdb0f,Be completely transparent with the use of data,Neutral,Transparent data collection/storage policies,,,,,,
826e42aa-44e7-4b01-97b8-6eb5ca0421cc,Transparency on the data access ,Neutral,Transparent data collection/storage policies,,,,,,
75012184-b41b-4113-adc7-a179098e7d2e,Be transparent about how they work.,Neutral,Transparency about how AI works,,,,,,
2df99ff0-936b-4594-9fc2-836d10194a98,"Be transparent about how you use your data, so I can see the logic behind your responses or decisions.",Neutral,Transparency about how AI works,Transparent data collection/storage policies,,,,,
d7b6a0cb-7ce1-4e18-8f29-03a0e44dfff4,Be transparent about the information on your phone and explain how they obtain it,Neutral,Transparency about how AI works,Transparent data collection/storage policies,,,,,
364c1e47-9a1a-4227-a71c-b2dafe0ec7f1,"Being transparent about how it works and making sure my data is kept safe and private.
",Positive,Data privacy and protection,Transparency about how AI works,,,,,
7938102f-689e-4925-b5fa-17d4d4c1fba6,Better transparency in terms of storing personal data,Neutral,Data privacy and protection,Transparent data collection/storage policies,,,,,
17614e44-ce7d-4a36-9753-98c3da45537c,"Complete transparency in how they collect, use and share my data. Ability to limit data collection as much as possible. No sharing of my data with other companies and businesses.",Neutral,Data privacy and protection,No selling/sharing data without consent,Option to opt out of data collection/training,Transparent data collection/storage policies,,,
6d0eb536-a75e-4b3f-919e-7dc196c72cbb,"Complete transparency when it comes to how my data is being used, as well as giving me the option to opt out of data sharing or delete it altogether.",Neutral,Option to opt out of data collection/training,Transparent data collection/storage policies,"User control over data (view, edit, delete)",,,,
d0b214e3-9a65-4d8b-9e45-df33617955fc,Data privacy is very key.,Neutral,Data privacy and protection,,,,,,
b5ac2859-be93-441d-abb8-b0473e6a9cb8,Data transparency: I need to clearly understand how they use and store my data.,Neutral,Transparent data collection/storage policies,,,,,,
c0b81072-7075-47e3-9b04-684dd9b40207,Do not release any personal information to third parties and keep it confidential. And be transparent about all the decisions it makes and how the decisions are made.,Neutral,Data privacy and protection,Explain decisions and reasoning,No selling/sharing data without consent,,,,
97f02413-43f2-4ad4-99e1-abaef442415d,Fully transparent about how it uses my data and ensure stronger privacy protection,Positive,Data privacy and protection,Transparent data collection/storage policies,,,,,
ccb1a850-5151-4f08-b050-3ed7cedfeae6,Guaranteed data privacy will get my trust,Neutral,Data privacy and protection,,,,,,
14d9a0ba-3abd-4166-a3b6-2887a14dd7d8,I believe you should manage my personal data securely and not make decisions without my review.,Negative,Data privacy and protection,Human-in-the-loop and override options,,,,,
e52ea0e5-ceaa-44e8-92a2-04d7db989e21,"I honestly don't know, I can't trust him completely no matter what",Negative,Other,,,,,,
27dd567c-491b-4d49-ae97-782564180282,"I need the company to be fully transparent about how decisions are made, data sources used, privacy safeguards, and who is accountable.",Neutral,Accountability and liability/compensation,Data privacy and protection,Explain decisions and reasoning,Transparency about how AI works,Transparent data collection/storage policies,,
aa70150c-bddb-477e-84e7-38aa01fab8ac,"I want to be transparent about how my data is used. Many companies use our data without consulting us, which can create a lot of mistrust.",Neutral,No selling/sharing data without consent,Transparent data collection/storage policies,,,,,
d5ac0acb-e542-47b3-bdb7-a00a35279cc6,"I would trust it more if I am 100% sure that I have total control over it, it does not make any decisions without my promptings and it protects my data from leaking.",Neutral,Data privacy and protection,Human-in-the-loop and override options,Security measures and encryption,,,,
398e4b1d-18c9-4395-b405-f91c374a4ecc,Personal data protection and secure my financial activities. AI shouldn't access my security code and private information.,Neutral,Data privacy and protection,Security measures and encryption,,,,,
33a7ad5e-e5e5-41e2-a1b8-03ab5d65f71f,Provide transparency about its data and security,Neutral,Data privacy and protection,Security measures and encryption,Transparency about how AI works,,,,
e0c96e7b-8294-40cb-9616-65030c8849c2,"Storing personal information securely, making it impossible for my data to be leaked ",Neutral,Data privacy and protection,Security measures and encryption,,,,,
03dbe3bc-972d-4f0b-8a08-608135d66beb,That they have absolute transparency regarding the information on how the processes work and how they handle the information.,Positive,Transparency about how AI works,Transparent data collection/storage policies,,,,,
79d28f13-cd82-47bd-ab79-fdcd990920f2,"The most important thing is protecting privacy while ensuring accuracy—making sure my data is secure and used responsibly, while the AI provides reliable, correct guidance I can trust.",Positive,Data privacy and protection,"Track record, reputation, and reliability",,,,,
4ab20198-652e-4fa6-a43b-99c5c31420ea,"The most important thing is transparency—clearly explaining how decisions are made, what data is used, and giving me full control to review, edit, or delete my data. Also, having strong privacy protections and human override options would build trust.",Neutral,Data privacy and protection,Explain decisions and reasoning,Human-in-the-loop and override options,Transparency about how AI works,"User control over data (view, edit, delete)",,
1a271fb1-fb4a-4ea1-aafd-c5ee8495a990,"Transparency in how it uses data.

",Neutral,Transparent data collection/storage policies,,,,,,
2657b59f-a8e1-4786-98bb-b0381e9ad2cc,Transparency of how they collect our data,Neutral,Data privacy and protection,Transparent data collection/storage policies,,,,,
57449c7f-dc97-4632-ade8-a1b7e302bf30,Transparency on how the data is used and what data is collected.,Neutral,Transparent data collection/storage policies,,,,,,
55a20dcd-d72e-46b4-ad5b-101c5e70300a,Transparent privacy policies and control over the data it collects of us.,Neutral,Data privacy and protection,Transparent data collection/storage policies,,,,,
996a3f30-fae7-43a8-82b8-29898de3ec9a,be transparent about the data you use and why,Neutral,Data privacy and protection,Transparency about training data and datasets,,,,,
a7cbc3e0-8727-4499-9473-545675656cc7,being transparent about where my information is being shared.,Neutral,No selling/sharing data without consent,Transparent data collection/storage policies,,,,,
3d0c2e9f-9bfe-4e14-8498-50ada599904b,explain how they utilize my personal data,Neutral,Data privacy and protection,Transparent data collection/storage policies,,,,,
b3945f29-b464-4d55-b166-e4b497d2ef79,"prioritize transparent data privacy and user control

",Neutral,Data privacy and protection,Transparency about how AI works,"User control over data (view, edit, delete)",,,,
bcdafb39-fbdb-45eb-a8ff-b66f71241a10,transparency on the data that is used and how and why,Neutral,Transparency about how AI works,Transparency about training data and datasets,,,,,
933540a7-f023-4646-b156-c6ee7c7d06fa,"Act authentically, genuinely, and be very transparent about what it is doing and why.",Neutral,Transparency about how AI works,,,,,,
c532cd57-e11b-4663-a11e-b810efd1d5ab,"Act transparently,

Present the information truthfully",Neutral,Transparency about how AI works,,,,,,
fa095fc6-ef9e-4d73-bd5d-2b264c0e2fd6,"Actively set boundaries, extreme transparency, and absolute respect for personal privacy",Positive,Clear limits and user-configurable boundaries,Data privacy and protection,Transparent data collection/storage policies,,,,
6c7fc71a-0408-4541-9c5e-1700d5d1a5bc,Assurance of security of my data,Neutral,Security measures and encryption,,,,,,
3edb6f48-2f9b-4713-a9a9-59fe7285a43b,Assure me of privacy and confidentiality of my shared data.,Neutral,Data privacy and protection,,,,,,
e1a684ca-a43f-45d0-92c5-feced32fd38b,Be completely trasparent about how they collect and process my data. Never sell any of the data they collect for financial gain.,Negative,Data privacy and protection,No selling/sharing data without consent,Transparent data collection/storage policies,,,,
bbcedded-5265-4b6d-a4d5-854027b734a4,Be transparent about how it works and always give me control over my data and decisions.,Neutral,Data privacy and protection,Human-in-the-loop and override options,Transparency about how AI works,,,,
04b6c378-65da-43ab-a0cb-6034508ef303,Be transparent about how it works and how it uses my data.,Neutral,Transparency about how AI works,Transparent data collection/storage policies,,,,,
3f7bef5d-f805-415d-9e6f-0016e2c7e6ad,Be transparent about the information you collect and what you do with it.,Neutral,Transparent data collection/storage policies,,,,,,
723a3aaa-b816-4319-81bc-6568719f0190,Be transparent about their policies and what kind of data they collect,Negative,Transparent data collection/storage policies,,,,,,
f67dceb5-11de-4be8-a8a5-be6262b30e45,Be transparent and protect my data privacy. ,Neutral,Data privacy and protection,Transparency about how AI works,,,,,
