Category,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
Financial and Legal Guidance,"Financial planning, investing, and budgeting",Legal aid and document understanding,,,
Health and Wellbeing Support,Elderly care and accessibility support,Healthcare diagnostics and treatment,Mental health and emotional support,,
Home and Daily Life Management,Companionship and social interaction,"Cooking, meal planning, and nutrition",Household chores and home automation,"Security, privacy, and home monitoring","Shopping, product research, and price comparison"
"Information, Research, and Decision Aid",Data analysis and pattern detection,Decision support and prioritization,"Research, information retrieval, and summarization",,
Learning and Education Assistance,Education equity and access to study materials,Learning and personalized education,,,
Mobility and Travel Assistance,Transportation and navigation (incl. self-driving),Travel planning and itinerary building,,,
Productivity and Task Automation,Automating repetitive admin tasks,Bureaucracy and form-filling automation,Personal scheduling and reminders,Time management and productivity coaching,
Professional and Creative Work Support,Career development and job search,Coding assistance and software development,"Creative assistance (design, media, ideas)",Email and message drafting/editing,"Writing, content creation, and translation"
Public and Environmental Services Optimization,Environmental and agriculture optimization,"Public services optimization (admin, safety)",,,
Uncategorized,Other,,,,
,Uninformative answer,,,,
