Category,Tag 1,Tag 2,Tag 3,Tag 4
"Accountability and governance (responsibility for errors, manipulation/hidden agendas)",Accountability: who is responsible for errors,Corporate/government manipulation or hidden agendas,,
"Autonomy and control (acting without consent, overreliance, advisory vs. automation)",Acting without consent or notification,Automating decisions that should be advisory,Loss of control over identity/voice,Overreliance and loss of human autonomy
"Bias, misinformation, and unreliable information (hallucinations, outdated/incomplete info)","Bias or unfair, non-personalized decisions","Misinformation, hallucinations, unreliable sources",Outdated/incomplete info leading to bad calls,
"Financial and legal risks (unauthorized spending, contracts, debt)","Financial loss, unauthorized spending",Signing contracts or legal actions without approval,Spending beyond budget or debt,
Irreversible or catastrophic failures,Irreversible or catastrophic errors,,,
"Privacy and data exposure (sensitive records, third-party sharing, storage security)",Exposure of sensitive medical/financial records,Privacy breaches and data leaks,Security of data storage and location,Sharing data with third parties/advertisers
"Safety and harm from wrong decisions (health, emergencies, children)",Children’s safety and inappropriate decisions,Medical misdiagnosis or bad health advice,Wrong decision causing harm,Wrong emergency judgment or delayed care
"Security threats (hacking, prompt injection, impersonation, home access misuse)","Hacking, prompt injection, hijacking",Home access and smart device misuse,Impersonation or sending messages as me,Letting strangers into home or sharing keys/codes
"Values, empathy, and family alignment (ethics, preferences, dehumanization)",Conflicts with family preferences or ethics,Dehumanization and family relationship strain,"Lack of empathy, values, or context",
Uncategorized,Other,,,
,Uninformative answer,,,
