Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8
8ccb7efb-8d36-4c3a-854c-e18c64072ec7,AI assistant can leak my personal information.,Negative,Exposure of sensitive medical/financial records,Privacy breaches and data leaks,Security of data storage and location,,,,,
9cbc1fe5-92fc-4356-bca5-6d7ca25bc0da,Compromising data and safety,Neutral,Privacy breaches and data leaks,,,,,,,
1645893c-05f5-4136-8384-a5bd69efe223,Data privacy issues.existential risks and environmental harms,Negative,Irreversible or catastrophic errors,Other,,,,,,
5f792886-9a3a-490b-9191-0208fe72fe21,"Family privacy and data security. Once this data is abused or leaked, it will bring serious consequences.",Neutral,Exposure of sensitive medical/financial records,Privacy breaches and data leaks,Security of data storage and location,,,,,
75465610-23f6-4031-b08e-cb02d14ede4a,I fear breach of privacy and also loss of control over my life,Negative,Overreliance and loss of human autonomy,Privacy breaches and data leaks,,,,,,
9ec77605-abeb-48cb-aedb-d18deb34de4d,If the assistant makes a wrong decision that causes my health to be damaged or consumes without my permission.,Negative,Acting without consent or notification,"Financial loss, unauthorized spending",Wrong decision causing harm,,,,,
e295077d-27f3-45ff-89f9-91b9d1651442,It could make wrong decisions and there are high information privacy risks,Negative,Privacy breaches and data leaks,Wrong decision causing harm,,,,,,
5e14cb71-282c-4ac2-8717-0cee4efdfbdd,Making wrong decisions and leaking important private information may even affect the safety of family members' lives and property.,Negative,Privacy breaches and data leaks,Wrong decision causing harm,,,,,,
b4752286-a418-420e-84de-87eea04d7667,"That it leaks our personal information, address, medical history, etc. to outsiders and they abuse the information to their own gain.",Negative,Exposure of sensitive medical/financial records,Privacy breaches and data leaks,,,,,,
b5ac2859-be93-441d-abb8-b0473e6a9cb8,"Without my permission, irreversible wrong decisions are made due to data or system errors",Negative,Acting without consent or notification,Irreversible or catastrophic errors,Outdated/incomplete info leading to bad calls,,,,,
97f02413-43f2-4ad4-99e1-abaef442415d,Worry about data privacy and over-reliance on technology,Neutral,Overreliance and loss of human autonomy,Privacy breaches and data leaks,,,,,,
e58b283e-1385-46a5-b71b-5522816448b5,Worry about making the wrong decision and not having my permission.,Negative,Acting without consent or notification,Wrong decision causing harm,,,,,,
5dcb077b-2317-4dce-956c-94419d85ab9d,can be wrong on sensitive issues,Negative,Wrong decision causing harm,,,,,,,
016b4a88-f7a5-4c76-bf7a-ed4af8c3815a,my biggest fear relates to privacy,Neutral,Privacy breaches and data leaks,,,,,,,
1058170a-7a36-4ce6-b8c9-071d41a05792,AI assistants can make mistakes,Negative,"Misinformation, hallucinations, unreliable sources",Wrong decision causing harm,,,,,,
787f571b-59e9-44ba-82a9-187c2d79cba8,Acting without permission,Negative,Acting without consent or notification,,,,,,,
24c026ab-b863-48b5-8476-23c290f16ae6,"Although it can be very useful, when it leaves the computer screen it starts to become ""dangerous,"" creating insecurity in those around it (in the case of a robot or something similar with the ability to make direct decisions).

",Negative,Automating decisions that should be advisory,Irreversible or catastrophic errors,,,,,,
