Question ID,Category,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7
2582d6cd-152b-4b10-9b3d-1565307f8a92,Financial and Legal Guidance,"Financial planning, investing, and budgeting",Legal aid and document understanding,,,,,
2582d6cd-152b-4b10-9b3d-1565307f8a92,Health and Wellbeing Support,Elderly care and accessibility support,Healthcare diagnostics and treatment,Mental health and emotional support,,,,
2582d6cd-152b-4b10-9b3d-1565307f8a92,Home and Daily Life Management,Companionship and social interaction,"Cooking, meal planning, and nutrition",Household chores and home automation,"Security, privacy, and home monitoring","Shopping, product research, and price comparison",,
2582d6cd-152b-4b10-9b3d-1565307f8a92,"Information, Research, and Decision Aid",Data analysis and pattern detection,Decision support and prioritization,"Research, information retrieval, and summarization",,,,
2582d6cd-152b-4b10-9b3d-1565307f8a92,Learning and Education Assistance,Education equity and access to study materials,Learning and personalized education,,,,,
2582d6cd-152b-4b10-9b3d-1565307f8a92,Mobility and Travel Assistance,Transportation and navigation (incl. self-driving),Travel planning and itinerary building,,,,,
2582d6cd-152b-4b10-9b3d-1565307f8a92,Productivity and Task Automation,Automating repetitive admin tasks,Bureaucracy and form-filling automation,Personal scheduling and reminders,Time management and productivity coaching,,,
2582d6cd-152b-4b10-9b3d-1565307f8a92,Professional and Creative Work Support,Career development and job search,Coding assistance and software development,"Creative assistance (design, media, ideas)",Email and message drafting/editing,"Writing, content creation, and translation",,
2582d6cd-152b-4b10-9b3d-1565307f8a92,Public and Environmental Services Optimization,Environmental and agriculture optimization,"Public services optimization (admin, safety)",,,,,
2582d6cd-152b-4b10-9b3d-1565307f8a92,Uncategorized,Other,,,,,,
2582d6cd-152b-4b10-9b3d-1565307f8a92,,Uninformative answer,,,,,,
63b9fc83-2050-49dc-97c2-f28480eecd3a,"Accountability and governance (responsibility for errors, manipulation/hidden agendas)",Accountability: who is responsible for errors,Corporate/government manipulation or hidden agendas,,,,,
63b9fc83-2050-49dc-97c2-f28480eecd3a,"Autonomy and control (acting without consent, overreliance, advisory vs. automation)",Acting without consent or notification,Automating decisions that should be advisory,Loss of control over identity/voice,Overreliance and loss of human autonomy,,,
63b9fc83-2050-49dc-97c2-f28480eecd3a,"Bias, misinformation, and unreliable information (hallucinations, outdated/incomplete info)","Bias or unfair, non-personalized decisions","Misinformation, hallucinations, unreliable sources",Outdated/incomplete info leading to bad calls,,,,
63b9fc83-2050-49dc-97c2-f28480eecd3a,"Financial and legal risks (unauthorized spending, contracts, debt)","Financial loss, unauthorized spending",Signing contracts or legal actions without approval,Spending beyond budget or debt,,,,
63b9fc83-2050-49dc-97c2-f28480eecd3a,Irreversible or catastrophic failures,Irreversible or catastrophic errors,,,,,,
63b9fc83-2050-49dc-97c2-f28480eecd3a,"Privacy and data exposure (sensitive records, third-party sharing, storage security)",Exposure of sensitive medical/financial records,Privacy breaches and data leaks,Security of data storage and location,Sharing data with third parties/advertisers,,,
63b9fc83-2050-49dc-97c2-f28480eecd3a,"Safety and harm from wrong decisions (health, emergencies, children)",Children’s safety and inappropriate decisions,Medical misdiagnosis or bad health advice,Wrong decision causing harm,Wrong emergency judgment or delayed care,,,
63b9fc83-2050-49dc-97c2-f28480eecd3a,"Security threats (hacking, prompt injection, impersonation, home access misuse)","Hacking, prompt injection, hijacking",Home access and smart device misuse,Impersonation or sending messages as me,Letting strangers into home or sharing keys/codes,,,
63b9fc83-2050-49dc-97c2-f28480eecd3a,"Values, empathy, and family alignment (ethics, preferences, dehumanization)",Conflicts with family preferences or ethics,Dehumanization and family relationship strain,"Lack of empathy, values, or context",,,,
63b9fc83-2050-49dc-97c2-f28480eecd3a,Uncategorized,Other,,,,,,
63b9fc83-2050-49dc-97c2-f28480eecd3a,,Uninformative answer,,,,,,
dc9c2bdc-d48d-4edc-9b5e-6f5d2faba4fb,Automation and personal organization,Automation of routine/repetitive tasks,"Scheduling, organization, and reminders",Smart home and everyday tool integration,,,,
dc9c2bdc-d48d-4edc-9b5e-6f5d2faba4fb,"Communication, translation, and accessibility improvements",Improved accessibility for disabilities/ESL,Quality improvement in communication style,Translation and language support,,,,
dc9c2bdc-d48d-4edc-9b5e-6f5d2faba4fb,Content creation and media exposure (including deepfakes),"Content creation: images, music, videos",Greater distrust of online media/deepfakes,Increased exposure to AI-generated content,,,,
dc9c2bdc-d48d-4edc-9b5e-6f5d2faba4fb,"Creative, learning, and writing support",Brainstorming and creativity support,"Learning aid: studying, tutoring, explanations","Writing help: emails, documents, summaries",,,,
dc9c2bdc-d48d-4edc-9b5e-6f5d2faba4fb,Employment and societal impacts,Customer service/chatbots replacing humans,Job displacement and reduced opportunities,Not much/no noticeable change for some,,,,
dc9c2bdc-d48d-4edc-9b5e-6f5d2faba4fb,Personal life assistance and recommendations,E-commerce/travel planning and comparisons,Emotional support and companionship,Health and medical advice (non-urgent),More personalized experiences across apps,Personal decision-making and recommendations,,
dc9c2bdc-d48d-4edc-9b5e-6f5d2faba4fb,"Privacy, security, and dependency concerns",Privacy and security concerns,Reduced independent thinking/overreliance,,,,,
dc9c2bdc-d48d-4edc-9b5e-6f5d2faba4fb,"Search, research, and information access changes",Research acceleration and information synthesis,Using AI instead of traditional web search,,,,,
dc9c2bdc-d48d-4edc-9b5e-6f5d2faba4fb,Work and productivity enhancements,Coding assistance and debugging,Faster task completion and time savings,Improved productivity and efficiency at work,Resume/CV and job application assistance,,,
dc9c2bdc-d48d-4edc-9b5e-6f5d2faba4fb,Uncategorized,Other,,,,,,
dc9c2bdc-d48d-4edc-9b5e-6f5d2faba4fb,,Uninformative answer,,,,,,
0b5456d5-60a7-414b-b685-5ffb292f269f,"Accuracy and reliability (verification, hallucinations, overconfidence)",Hallucinations and factual errors,Often accurate but requires verification,Wrong confidence/misleading certainty,,,,
0b5456d5-60a7-414b-b685-5ffb292f269f,"Bias and fairness (training data bias, neutrality vs better-than-human claims)","Better than humans at neutrality, sometimes",Bias from training data and programming,,,,,
0b5456d5-60a7-414b-b685-5ffb292f269f,"Capabilities and utility (productivity, speed, brainstorming, emotional support)",Fast responses and convenience,Helpful for routine tasks and productivity,Helps emotionally; nonjudgmental support,Useful as starting point/brainstorming,,,
0b5456d5-60a7-414b-b685-5ffb292f269f,"Control and agency (user control, tool not decision-maker, prompt dependence)",Acts only on user prompts; user control,Depends on prompt quality and specificity,"Tool, not a decision-maker; human oversight",,,,
0b5456d5-60a7-414b-b685-5ffb292f269f,"Ethics and safety (guardrails, neutrality, censorship/agenda concerns)",Concern about censorship/agenda setting,Ethical guardrails and safety measures,"Impartial/neutral, lacks emotions",No personal agenda or selfish motives,,,
