Question ID,Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,870b0de3-2d14-4ffb-8c37-4e7e279866b3, I would like this program to be introduced it looks so good in the future ,Positive,Other,,,,,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,a4baee5c-9c2b-4885-a48b-9b7f0823a02b, none,Neutral,Other,,,,,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,c1114f8b-15d0-48a4-b914-3b7adbf1c132,-,Neutral,Uninformative answer,,,,,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,466e2f93-2731-46ec-b7b5-dc086deb9f88,.,Neutral,Uninformative answer,,,,,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,ba9fcbd5-757d-4995-b299-fba4f1d1a0ad,"1. I hope people can be more accepting / give more chance to AI as it's inevitable that AI will be part of our daily lives, if it's not already. 2. I hope transparency and trust from the AI company can be conveyed to users, i believe it's the one of the biggest aspect that needs to be improved for people to accept AI technology. Government from ANY countries should find a way to make their citizen to stay employed/able to afford daily expenses even after AI taking their job away",Neutral,"AI affordability, access, and equity",Economic impacts and pricing models,"Job displacement, labor impacts, and UBI",Trust depends on developer/company,,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,3342359b-419d-467d-bcbe-7a4419eafbdc,"1. User agency — default-deny permissions, per-action consent for sensitive tasks, easy off switch, and clear “AI receipts” of what it saw/did with sources.

2. Accountability — independent audits, data minimization/on-device options, instant restitution for harms, fast human escalation.

3. Equity & resilience — accessible, multilingual, offline/fail-safe, data portability, and transparency on updates & environmental impact.",Neutral,Accountability and redress for harms,"AI affordability, access, and equity","Data privacy, security, and user control",Environmental impact (energy/water use),On-device/offline operation preferences,"Transparency, explainability, and audits",,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,aa70150c-bddb-477e-84e7-38aa01fab8ac,"A little more variety in the answers, for example, where I only had two options, I would prefer there to be four, to have a broader view when choosing my answer.",Neutral,"Survey design feedback (options, clarity)",,,,,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,658f235c-6e80-472c-bbde-ba9fd7146094,A study case in real life about a correlation between daily use of AI and the mental health of it's users,Neutral,Mental health and social relationships,,,,,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,b5a38add-f68a-4b51-9d6c-4db345f29e4b,A suggestion that for medical sector the AI shall be under the guidance of humans or else there's a major risk of failure as diseases and symptoms vary with people.,Neutral,Human oversight and final decision-making,"Medical use: assist only, not decide",,,,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,aa3a50bf-2e48-41e3-bb53-27d9d6b5e041,A survey worth answering,Neutral,Other,,,,,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,c11cb0da-9551-4766-aa10-2a138e8c5296,A topic that I think was tangentially addressed was AI accountability for the decisions or actions that it took. ,Neutral,Accountability and redress for harms,,,,,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,2f2d8fd2-8eea-4553-b0f6-4ca98d5e3cf9,"AI Should Agree to medical treatment (starting medications, booking procedures, changing therapy)
",Neutral,"Medical use: assist only, not decide",Scope: what AI should/shouldn’t do,,,,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,045d1401-eaf7-487f-8526-9aaf2ec2c73b,AI and Religion,Neutral,"Religious, cultural sensitivity and norms",,,,,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,f04d8f65-6987-41ea-9b66-afcc9d9c047a,AI assistance only tools had been created by human to control all task,Neutral,Scope: what AI should/shouldn’t do,,,,,,,,,
