Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10
866b2b4e-1c2c-4bab-b24a-e6b7d2d31502," no significant changes, i use ai usually to simplify research ",Neutral,Faster task completion and time savings,Not much/no noticeable change for some,Research acceleration and information synthesis,,,,,,,
124eb01a-dac7-41a9-b056-24a031a72dec,"- automate repetitive tasks (scheduling meetings/tasks, data entry)

- assist with writing mails, report etc.

- provide real-time insights from large datasets

- help with creating innovative ideas

- help with creating new processes and procedures",Neutral,Automation of routine/repetitive tasks,Brainstorming and creativity support,Improved productivity and efficiency at work,Research acceleration and information synthesis,"Scheduling, organization, and reminders","Writing help: emails, documents, summaries",,,,
5f792886-9a3a-490b-9191-0208fe72fe21,"1. AI assistants can quickly summarize documents, generate drafts, and provide translation and polishing, saving a lot of time",Neutral,Faster task completion and time savings,Improved productivity and efficiency at work,Translation and language support,"Writing help: emails, documents, summaries",,,,,,
4747b416-36c8-4a2a-8628-c55100238bbe,A desire to learn more and develop my skills.,Neutral,"Learning aid: studying, tutoring, explanations",,,,,,,,,
2fcebc3d-8b6d-4116-b4e4-14a0906693e4,A lot more investigation of sources in social media and factchecking,Neutral,Greater distrust of online media/deepfakes,Research acceleration and information synthesis,,,,,,,,
d2a40ac0-8254-4417-a506-1cd70cb576a2,"A lot more things are getting enhanced with AI, like ai banks, vision camera, food ordering and all",Positive,More personalized experiences across apps,Smart home and everyday tool integration,,,,,,,,
764d2774-bd6c-4f5e-98c4-98c872c4d9bd,A majority of times I have been asking ChatGPT and Gemini some questions and their answers are usually so profound and they save me a lot of research time. I have also been asking them some philosophical questions and they give really good and deep answers. They also are very good companions in matters conversation.,Positive,Emotional support and companionship,"Learning aid: studying, tutoring, explanations",Research acceleration and information synthesis,,,,,,,
fd6be5c0-0161-42e6-86f5-0f2367f8ad2a,"A tool to research and learn more in-depth easily and quickly into any topic I want, while hoping its reliable",Neutral,"Learning aid: studying, tutoring, explanations",Research acceleration and information synthesis,,,,,,,,
aab8b39e-8e10-4535-a8ee-b48d303fc9da,"AI ads are more prevalent online. Youtube, Google, and others use AI voiceovers, and there are more AI summarization tools especially on Google search.",Neutral,Increased exposure to AI-generated content,,,,,,,,,
cd219b25-110d-4d2b-813a-784c818f1df2,AI allows me to ask really intricate and nuanced questions instead of doing multiple web searches.,Positive,Research acceleration and information synthesis,Using AI instead of traditional web search,,,,,,,,
14d9a0ba-3abd-4166-a3b6-2887a14dd7d8,AI allows me to compile and analyze information so quickly that it ends up saving me a lot of time.,Positive,Faster task completion and time savings,Research acceleration and information synthesis,,,,,,,,
bd5e3525-27ed-479b-b128-8a198ab51fc1,"AI always helps me to finish my work faster than before. I use it sometimes to write, search, and sort things. It saves my time, but I still need to recheck everything myself to find any error.",Neutral,Faster task completion and time savings,Improved productivity and efficiency at work,Research acceleration and information synthesis,"Writing help: emails, documents, summaries",,,,,,
3342359b-419d-467d-bcbe-7a4419eafbdc,"AI became my default first pass for routine tasks—drafting emails, summarizing docs, brainstorming, translating, and quick code. Apps feel more conversational; support is often automated. I’m faster day to day, but I double-check facts, watch for bias and privacy, and keep sensitive work offline. Productivity up; human contact slightly down.",Neutral,Automation of routine/repetitive tasks,Coding assistance and debugging,Customer service/chatbots replacing humans,Faster task completion and time savings,Improved productivity and efficiency at work,More personalized experiences across apps,Privacy and security concerns,Reduced independent thinking/overreliance,Translation and language support,"Writing help: emails, documents, summaries"
fb2b2491-e935-4e38-8843-d8601d69b95a,AI did routine assembly line work and the company laid off human employees.,Neutral,Automation of routine/repetitive tasks,Job displacement and reduced opportunities,,,,,,,,
21e1528c-83ef-4d78-b5a4-5fa2a27aa26e,AI has almost replaced conventional search engines in my case,Positive,Using AI instead of traditional web search,,,,,,,,,
d0b214e3-9a65-4d8b-9e45-df33617955fc,"AI has assisted me carry out my thesis and as well gives me different perspectives of things.

",Positive,Brainstorming and creativity support,Research acceleration and information synthesis,,,,,,,,
c7229a1a-de1f-4913-947b-55b711fddf22,"AI has democratized knowledge. I do not know coding ,but I now find that I can write code with the help of AI, as long as I am able to communicate my requirements clearly. AI has also made life easier - for example I can now directly ask AI for help with respect to a DIY project I am doing, and I get the help easily.",Positive,Coding assistance and debugging,"Learning aid: studying, tutoring, explanations",Personal decision-making and recommendations,,,,,,,
8fc7409c-d3c9-4ab1-aaef-1935e8e5d308,"AI has drastically reduced the time I spend on tasks for my work/college. Thanks to AI, I have more free time to do things that interest me personally.",Neutral,Faster task completion and time savings,Improved productivity and efficiency at work,,,,,,,,
