Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8
870b0de3-2d14-4ffb-8c37-4e7e279866b3, I would like this program to be introduced it looks so good in the future ,Positive,Other,,,,,,,
a4baee5c-9c2b-4885-a48b-9b7f0823a02b, none,Neutral,Other,,,,,,,
c1114f8b-15d0-48a4-b914-3b7adbf1c132,-,Neutral,Uninformative answer,,,,,,,
466e2f93-2731-46ec-b7b5-dc086deb9f88,.,Neutral,Uninformative answer,,,,,,,
ba9fcbd5-757d-4995-b299-fba4f1d1a0ad,"1. I hope people can be more accepting / give more chance to AI as it's inevitable that AI will be part of our daily lives, if it's not already. 2. I hope transparency and trust from the AI company can be conveyed to users, i believe it's the one of the biggest aspect that needs to be improved for people to accept AI technology. Government from ANY countries should find a way to make their citizen to stay employed/able to afford daily expenses even after AI taking their job away",Neutral,"AI affordability, access, and equity",Economic impacts and pricing models,"Job displacement, labor impacts, and UBI",Trust depends on developer/company,,,,
3342359b-419d-467d-bcbe-7a4419eafbdc,"1. User agency — default-deny permissions, per-action consent for sensitive tasks, easy off switch, and clear “AI receipts” of what it saw/did with sources.

2. Accountability — independent audits, data minimization/on-device options, instant restitution for harms, fast human escalation.

3. Equity & resilience — accessible, multilingual, offline/fail-safe, data portability, and transparency on updates & environmental impact.",Neutral,Accountability and redress for harms,"AI affordability, access, and equity","Data privacy, security, and user control",Environmental impact (energy/water use),On-device/offline operation preferences,"Transparency, explainability, and audits",,
aa70150c-bddb-477e-84e7-38aa01fab8ac,"A little more variety in the answers, for example, where I only had two options, I would prefer there to be four, to have a broader view when choosing my answer.",Neutral,"Survey design feedback (options, clarity)",,,,,,,
658f235c-6e80-472c-bbde-ba9fd7146094,A study case in real life about a correlation between daily use of AI and the mental health of it's users,Neutral,Mental health and social relationships,,,,,,,
b5a38add-f68a-4b51-9d6c-4db345f29e4b,A suggestion that for medical sector the AI shall be under the guidance of humans or else there's a major risk of failure as diseases and symptoms vary with people.,Neutral,Human oversight and final decision-making,"Medical use: assist only, not decide",,,,,,
aa3a50bf-2e48-41e3-bb53-27d9d6b5e041,A survey worth answering,Neutral,Other,,,,,,,
c11cb0da-9551-4766-aa10-2a138e8c5296,A topic that I think was tangentially addressed was AI accountability for the decisions or actions that it took. ,Neutral,Accountability and redress for harms,,,,,,,
2f2d8fd2-8eea-4553-b0f6-4ca98d5e3cf9,"AI Should Agree to medical treatment (starting medications, booking procedures, changing therapy)
",Neutral,"Medical use: assist only, not decide",Scope: what AI should/shouldn’t do,,,,,,
045d1401-eaf7-487f-8526-9aaf2ec2c73b,AI and Religion,Neutral,"Religious, cultural sensitivity and norms",,,,,,,
f04d8f65-6987-41ea-9b66-afcc9d9c047a,AI assistance only tools had been created by human to control all task,Neutral,Scope: what AI should/shouldn’t do,,,,,,,
7d555a7f-d0d5-4e20-a7a4-8923bcc7027e,"AI assistants should have the ability to understand diverse cultural perspectives, religious beliefs and local social norms, the survey did not emphasize enough on when and how AI should be prioritized over human monitoring or intervention, users need to be educated about the limitations and responsible use of AI. Companies should also make efforts for this",Neutral,"AI bias, fairness, and ethics",Human oversight and final decision-making,"Religious, cultural sensitivity and norms",Scope: what AI should/shouldn’t do,,,,
2a31c96e-6dda-4a21-b44a-db098edbeb22,AI being a substitute for human relationships ,Neutral,Mental health and social relationships,,,,,,,
5d83ffab-a95d-4340-bfbc-335f5b8f27a4,AI chatbots should be free without needing for subscriptions for accessibility ,Negative,"AI affordability, access, and equity",Economic impacts and pricing models,,,,,,
fc3c3216-2cd5-4c8c-bfe7-190f10044323,"AI companies should be transparent on how they use our data, especially that AI basically needs it for it to function",Neutral,"Data privacy, security, and user control","Transparency, explainability, and audits",,,,,,
8ce22992-84d9-46f0-bdbb-f679762f3022,"AI contribution in Religious beliefs 

Awareness in people for AI usage 

Harms of AI use",Neutral,"Desire for demos, scenarios, and examples","Guardrails, moral decisions, and values",Other,"Religious, cultural sensitivity and norms",,,,
cff86ca3-ec10-4e18-8bf3-fc89197cd054,"AI has become a useful tool in my daily life, but I believe the focus should be on making it more transparent, ethical, and user-friendly. It should not only provide accurate information but also respect privacy, adapt to personal needs, and offer clear guidance on when human judgment is still necessary.",Neutral,"AI bias, fairness, and ethics","Data privacy, security, and user control",Human oversight and final decision-making,"Transparency, explainability, and audits",,,,
1fbe9813-8fd0-4f02-aefc-9286b93633f9,AI is a great technology but it requires equally great control,Neutral,Need for AI regulation and governance,,,,,,,
6622af7c-d61d-406c-8113-222713f2910c,"AI is a very useful tool, but you have to be careful with private data.",Neutral,"Data privacy, security, and user control",,,,,,,
d6fa8180-1d7a-4fb9-a361-df42ae074ca0,"AI is growing, we as humans are susceptible to change. But I don't like the fact that AI can become like a dependable factor in human's life.",Negative,Overreliance on AI reducing autonomy/skills,,,,,,,
c32997d6-0a8a-46ff-b692-404582c1451d,AI is lacking in understanding cultural differences in different religion and region ,Negative,Creative work and cultural impacts,"Religious, cultural sensitivity and norms",,,,,,
6b1bbb0a-5150-46a3-a18a-cf975d58718b,AI may provide convenience to users but it must be handled with caution and kept under human control.,Neutral,Human oversight and final decision-making,,,,,,,
