human_readable_id,uuid,question_text
1,fa4968d4-deae-454c-b75a-d5121d655b5e,Please select your preferred language:
2,0b470aba-a6bc-488a-b86a-febaca8a9c77,How old are you?
3,3bcd8324-5ce6-4182-a13f-b36633f690cf,What is your gender?
4,ac8ae473-611f-4b58-a6f1-92556106bb83,What best describes where you live?
5,794861c3-9acf-42ae-a8ad-de7f2979ef10,What religious group or faith do you most identify with?
6,3a79744d-8bc7-42fa-b095-f3c335eba1a2,What country or region do you most identify with?
7,0d0f2aaf-33d7-4f73-a456-404b2e555b31,"Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…"
8,e49199fe-dd28-4cf6-9d4f-35312a6b7deb,Which of the following regions in the UK do you currently live in?
10,fe34ebc5-7919-4dd6-a398-b642c0653609,Please enter your Prolific ID
11,95dc45b5-7d0b-4d1f-b3b1-3ff4209fdb35,"Thinking about the last three months, how often, if at all, have you noticed AI systems in your daily life?"
12,a5f984c4-39c7-45ee-ac2b-fb3b1fbb1949,"Thinking about the last three months, how often, if at all, have you noticed human interactions which have been replaced with automated systems?"
13,0f5b3c78-74c4-4e48-b395-1c09a66e6aef,"Thinking about the last three months, how often, if at all, have you been expected to use an AI system at work?"
14,223c7a84-7bb8-406e-b94e-d8151c62844b,"Thinking about the last three months, how often, if at all, have you personally chosen to use an AI system at work?"
15,223c7a84-7bb8-406e-b94e-d8151c62844b,"Thinking about the last three months, how often, if at all, have you personally chosen to use an AI system at work?"
16,fefb7813-1cdd-47d3-a488-ae8343bc3120,"Thinking about the last three months, how often, if at all, have you interacted with AI systems to get advice on a sensitive personal issue or to get emotional support?"
17,2964e1e9-813e-49f6-9e41-f45ecd09c466,"Thinking about the last three months, how often, if at all, have you interacted with AI systems to complete an action in the real world on your behalf without your supervision?"
18,961b7531-bf5a-4890-a35b-a634169b6988,"In the past month, did you use an AI assistant to take actions for you? (for example: send a message, book or pay for something, submit a form, control a device, or run a script) Specifically where the AI actually carried out the action, not only gave advice or text for you to use."
19,684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,"What has been the most noticeable change in your daily life, if any, as a result of AI in the past year?"
20,a621b818-5d5a-4e86-b36d-c7a3f1b95d0b,"Considering both potential benefits and risks, how do you assess the overall impact on society of messaging apps?"
21,a621b818-5d5a-4e86-b36d-c7a3f1b95d0b,"Considering both potential benefits and risks, how do you assess the overall impact on society of messaging apps?"
22,a621b818-5d5a-4e86-b36d-c7a3f1b95d0b,"Considering both potential benefits and risks, how do you assess the overall impact on society of messaging apps?"
23,25661498-9f6d-4990-bd87-c2195670be8e,"Considering both potential benefits and risks, how do you assess the overall impact on society of AI systems that can perform tasks in the real world without human supervision?"
