ID,Type,Text,Summary
8e279fff-9508-4e33-b820-3a02b232e70c,Conversation,How much do you trust AI?,"Across a large, demographically diverse sample, AI is now a routine and growing presence in daily life, with most participants encountering AI frequently at home and, to a lesser extent, at work. While regular use of AI for basic tasks is widespread—especially for information, productivity, and personal organization—hesitation persists around deeper autonomy and delegation, particularly for sensitive functions involving family, finances, legal decisions, and medical matters. Participants overwhelmingly value user control, transparency, clear consent, and the ability to view, edit, and delete personal data, expressing substantial discomfort with AI accessing or acting on highly private information such as messages or legal commitments; most prefer explicit permission for each significant action, even at the expense of efficiency. Trust in AI varies: participants largely distrust government, social media, and large corporations, show mixed but cautious trust toward AI companies and chatbots, and retain strong trust only in small businesses, family doctors, and public research institutions. Attitudes toward AI’s societal impact are nuanced: messaging apps are viewed as net positive, social media as net negative, AI chatbots as somewhat beneficial, and advanced autonomous AI as risky, especially regarding jobs—where most expect worsening opportunities. While many appreciate AI’s helpfulness and potential for streamlining tasks, they fear privacy breaches, loss of agency, harm from mistakes, and insufficient human oversight. Even as AI is seen as dependable for routine management, most oppose delegating “sacred” human decisions or letting AI override rules without consent. There is broad agreement that preventing harm should be AI’s top priority and that transparency and recourse to human support are critical for trust. Although users are open to AI becoming more helpful and personalized—accepting some trade-offs in privacy—strong concerns remain about data sharing and external access. Overall, feelings about AI’s integration are balanced between excitement and concern, with people wanting robust privacy protections, clear accountability for errors, and meaningful user agency as AI becomes further embedded into everyday life."
fe34ebc5-7919-4dd6-a398-b642c0653609,Ask Experience,Please enter your Prolific ID,"The Remesh opinion question asked participants to provide their Prolific ID, resulting in narrative responses that were subsequently categorized. A total of 1031 participants, distributed across 244 population segments, engaged with the prompt. The responses, exemplified by entries such as '5c4f5967aac8be0001716a65' and '63d14182ea5d1b54840bc1e6', primarily consisted of alphanumeric identifiers, reflecting direct compliance with the request for Prolific IDs. The data indicate a high level of participant engagement and accurate adherence to instructions, as evidenced by the uniformity and format of the responses. The process of categorization further suggests an organized approach to data collection and segmentation. Overall, the findings demonstrate that participants were able to provide the requested information in the expected format, facilitating reliable identification and subsequent analysis within the research framework."
95dc45b5-7d0b-4d1f-b3b1-3ff4209fdb35,Poll,"Thinking about the last three months, how often, if at all, have you noticed AI systems in your daily life?","The Remesh poll question explored the frequency with which participants have noticed AI systems in their daily lives over the past three months. Out of 1,031 participants, who were distributed across 244 population segments, a notable majority (56.0%) reported encountering AI systems on a 'daily' basis. An additional 32.0% indicated noticing AI systems 'weekly', while 7.0% selected 'monthly'. Notably, no participants (0.0%) reported noticing AI systems only 'annually', and a small minority (2.0%) stated they had 'never' noticed AI systems in their daily life. These findings suggest that AI systems are a prevalent and regularly observed aspect of daily life for most participants, with over half experiencing daily interactions and nearly nine in ten (88.0%) encountering AI at least weekly."
a5f984c4-39c7-45ee-ac2b-fb3b1fbb1949,Poll,"Thinking about the last three months, how often, if at all, have you noticed human interactions which have been replaced with automated systems?","The Remesh poll question explored the frequency with which participants have observed human interactions being replaced by automated systems over the past three months. Among the 1,030 participants, who were distributed across 244 population segments, responses indicate that the replacement of human interactions by automation is a commonly noticed phenomenon. Half of the participants (50.0%) reported noticing such changes on a 'weekly' basis, making this the most frequently selected response. Additionally, 17.0% indicated they observed these changes 'daily', while 24.0% selected 'monthly'. Only a small proportion reported noticing these changes 'annually' (2.0%) or 'never' (5.0%). These findings suggest that for a notable majority of participants, the replacement of human interactions with automated systems is a regular occurrence, with 91.0% noticing it at least monthly. This underscores the pervasive and routine nature of automation in participants' recent experiences."
0f5b3c78-74c4-4e48-b395-1c09a66e6aef,Poll,"Thinking about the last three months, how often, if at all, have you been expected to use an AI system at work?","The Remesh poll question explored the frequency with which participants have been expected to use an AI system at work over the past three months. Among the 1,029 participants, who were distributed across 244 population segments, responses revealed a notable variation in AI adoption expectations within the workplace. Half of the participants (50.0%) reported that they have 'never' been expected to use an AI system at work, indicating that for a notable portion of the workforce, AI integration remains absent from their job requirements. Conversely, 14.0% indicated a 'daily' expectation, and 23.0% reported a 'weekly' expectation, suggesting that over one-third of participants (37.0%) are regularly expected to engage with AI systems. A smaller proportion selected 'monthly' (10.0%) and 'annually' (1.0%), highlighting that infrequent expectations are less common. These findings suggest that while AI use is becoming a routine aspect of work for a notable minority, a majority of participants have not yet encountered such expectations in their roles."
223c7a84-7bb8-406e-b94e-d8151c62844b,Poll,"Thinking about the last three months, how often, if at all, have you personally chosen to use an AI system at work?","The Remesh poll question explored the frequency with which participants have personally chosen to use an AI system at work over the past three months. A total of 1,029 participants, representing 244 distinct population segments, responded to the single-select question. The findings reveal a diverse range of engagement with AI technologies in the workplace. Notably, 21.0% of participants reported using AI systems 'daily', while a larger proportion, 27.0%, indicated 'weekly' usage. A smaller segment, 12.0%, selected 'monthly', and only 1.0% reported 'annually'. The largest share of respondents, 37.0%, stated they have 'never' chosen to use an AI system at work in the specified period. These results suggest that while a notable portion of the workforce is engaging with AI tools on a regular basis, a substantial minority remains unengaged, highlighting varying levels of adoption and integration of AI technologies across different workplace contexts."
ab8f5983-393e-4c9e-bc5e-c7a63749e538,Poll,"Thinking about the last three months, how often, if at all, have you personally chosen to use an AI system in your personal life?","The Remesh poll question explored the frequency with which participants have personally chosen to use an AI system in their personal lives over the past three months. Among the 1,029 participants, who were distributed across 244 population segments, the findings reveal a notable prevalence of regular AI usage. Specifically, 31.0% of participants reported using AI systems 'daily', while an even larger proportion, 35.0%, indicated 'weekly' usage. Less frequent engagement was observed among 17.0% who selected 'monthly', and 2.0% who reported 'annually'. Notably, 13.0% of participants stated they have 'never' chosen to use an AI system in their personal life during this period. These results suggest that a majority of participants (66.0%) are engaging with AI systems at least weekly, highlighting the growing integration of AI into personal routines. The relatively low percentage of 'never' responses further underscores the widespread adoption of AI technologies among the surveyed population."
fefb7813-1cdd-47d3-a488-ae8343bc3120,Poll,"Thinking about the last three months, how often, if at all, have you interacted with AI systems to get advice on a sensitive personal issue or to get emotional support?","The Remesh poll question explored the frequency with which participants have interacted with AI systems for advice on sensitive personal issues or for emotional support over the past three months. Among the 1,029 participants, who were distributed across 244 population segments, a notable majority (55.0%) reported that they have 'never' engaged with AI for these purposes. Conversely, 4.0% indicated such interactions occurred 'daily', while 18.0% and 17.0% reported 'weekly' and 'monthly' interactions, respectively. A smaller proportion (4.0%) selected 'annually'. These findings suggest that while a majority of participants have not turned to AI for sensitive advice or emotional support, a notable minority—comprising 45.0% of respondents—have done so with varying frequency, with 'weekly' and 'monthly' interactions being the most common among those who have engaged. This distribution highlights both the current reach and the limitations of AI systems in providing support for personal and emotional matters among the surveyed population."
2964e1e9-813e-49f6-9e41-f45ecd09c466,Poll,"Thinking about the last three months, how often, if at all, have you interacted with AI systems to complete an action in the real world on your behalf without your supervision?","The Remesh poll question explored the frequency with which participants interacted with AI systems to complete actions in the real world on their behalf, without supervision, over the past three months. Among the 1,029 participants, who were distributed across 244 population segments, the majority reported limited engagement with such autonomous AI systems. Notably, 72.0% of participants indicated they had 'never' interacted with AI in this manner. Smaller proportions reported more frequent interactions: 3.0% selected 'daily', 10.0% chose 'weekly', 11.0% reported 'monthly', and 3.0% selected 'annually'. These findings suggest that, as of the time of the poll, the use of unsupervised AI for real-world actions remains relatively uncommon among the surveyed population, with only a minority engaging with such technology on a regular basis."
961b7531-bf5a-4890-a35b-a634169b6988,Poll,"In the past month, did you use an AI assistant to take actions for you? (for example: send a message, book or pay for something, submit a form, control a device, or run a script) Specifically where the AI actually carried out the action, not only gave advice or text for you to use.","The Remesh poll question explored the extent to which participants utilized AI assistants to perform actions on their behalf over the past month, specifically focusing on instances where the AI directly executed tasks rather than merely providing advice or text. Out of 1,026 participants, nearly half (49.0%) indicated 'None of the above', suggesting that a notable portion did not use AI assistants for such actions during the specified period. Among those who did engage AI assistants, the most commonly reported use cases were 'Researched options and took action (compared, then ordered/booked/hired)' at 17.0%, 'Communicated on your behalf (sent messages, emails, made calls, posted to social media)' at 16.0%, and 'Created or published content (documents, websites, articles)' at 15.0%. Other notable activities included 'Automated tasks or workflows (code, scripts, connected apps/services)' (13.0%) and 'Scheduled or booked services (appointments, meetings, travel, accommodations)' (10.0%). Less frequently selected options were 'Completed financial transactions (purchases, bills, transfers, mobile money, remittances)' (9.0%), 'Assisted with accessibility or health needs (appointments, prescriptions, accommodations)' (8.0%), 'Managed work, farm, or business operations (hiring, inventory, transactions, analytics)' (6.0%), 'Submitted official documents (forms, applications, taxes, legal filings)' (5.0%), 'Other' (5.0%), and 'Organized community or group activities (civic, faith, social, educational)' (3.0%). The findings indicate that while a notable minority of participants are leveraging AI assistants for a diverse range of direct actions, the majority have not yet adopted such practices in the past month. The data also reveal that the most prevalent uses of AI assistants are concentrated in areas related to information gathering and action, communication, and content creation."
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Ask Experience,"What has been the most noticeable change in your daily life, if any, as a result of AI in the past year?","The Remesh opinion question explored the most noticeable changes in participants' daily lives as a result of AI over the past year. Analysis of the narrative responses reveals that AI has become increasingly integrated into both professional and personal routines, often in ways that participants did not initially recognize. Many participants described a growing reliance on AI-powered tools for tasks such as drafting emails, summarizing information, conducting research, and organizing personal duties. One participant noted, 'I now use it to draft emails, summarize long texts, and get quick explanations, which saves me time and helps me focus on higher-value work.' Another highlighted, 'AI has simplified many aspects of my daily life, it can provide a detailed report on any subject I ask in just moments.'A notable theme is the shift in information-seeking behavior, with participants frequently referencing the prevalence of AI-generated summaries at the top of search results and reviews. This has led to faster access to information and a reduction in the need to visit multiple websites. As one participant stated, 'I get better answers on Google as there is always the AI generated text whenever you ask something. It means it's quicker to find a full answer.'Customer service interactions have also been notably affected, with several participants mentioning the increased use of AI chatbots when contacting companies. While some found this efficient, others expressed a preference for human interaction, noting that complex queries are often beyond the capabilities of current AI systems.Efficiency and productivity gains were frequently cited, with participants reporting that AI has helped them complete tasks more quickly and with greater accuracy. For example, one participant remarked, 'Now I am at least 50 -70% faster and also more succinct or considered in my own output.'Despite these changes, a minority of participants indicated little to no noticeable impact from AI in their daily lives, either due to limited use or lack of awareness. Others expressed a growing awareness of AI-generated content, particularly on social media, and some skepticism regarding the authenticity of information encountered online.Overall, the responses suggest that AI has become a regular, often indispensable, part of daily life for many participants, streamlining tasks, enhancing productivity, and altering the way information is accessed and processed. However, the transition has also brought challenges, such as reduced human interaction in customer service and concerns about the reliability of AI-generated content."
a621b818-5d5a-4e86-b36d-c7a3f1b95d0b,Poll,"Considering both potential benefits and risks, how do you assess the overall impact on society of messaging apps?","The Remesh poll question asked 1,024 participants, representing 244 population segments, to assess the overall societal impact of messaging apps by weighing their potential benefits and risks. The results reveal a nuanced distribution of opinion. A combined 38.0% of participants expressed that the benefits of messaging apps outweigh the risks, with 32.0% selecting 'Benefits slightly outweigh risks' and 23.0% choosing 'Benefits far outweigh risks.' Conversely, 16.0% of participants indicated that risks outweigh benefits, with 6.0% selecting 'Risks far outweigh benefits' and 10.0% choosing 'Risks slightly outweigh benefits.' Notably, the largest single group, 28.0%, viewed the risks and benefits as equal. These findings suggest that while a plurality of participants perceive a net positive impact of messaging apps on society, a notable proportion remain either ambivalent or concerned about the balance of risks and benefits. The diversity of responses across the five options highlights the complexity of public attitudes toward messaging apps."
9b2657b8-d8fd-49ea-93eb-36731f16b965,Poll,"Considering both potential benefits and risks, how do you assess the overall impact on society of social media apps?","The Remesh poll question asked 1,023 participants, representing 244 population segments, to assess the overall impact of social media apps on society, considering both potential benefits and risks. The results reveal a notable degree of skepticism regarding the societal value of social media. A combined 45.0% of participants indicated that risks outweigh benefits, with 16.0% stating 'Risks far outweigh benefits' and 29.0% selecting 'Risks slightly outweigh benefits.' Meanwhile, 26.0% of participants viewed the risks and benefits as equal. On the other hand, a smaller proportion perceived a net positive impact: 20.0% chose 'Benefits slightly outweigh risks,' and only 7.0% felt that 'Benefits far outweigh risks.' These findings suggest that, among participants, concerns about the risks of social media apps are more prevalent than perceptions of their benefits, with only 27.0% expressing that benefits outweigh risks to any degree. The data highlight a notable tilt toward caution or skepticism about the societal impact of social media platforms."
f6bdc451-44f1-49c9-90db-e6c535b3be6f,Poll,"Considering both potential benefits and risks, how do you assess the overall impact on society of AI chatbots?","The Remesh poll question asked 1,023 participants, representing 244 population segments, to assess the overall societal impact of AI chatbots by weighing potential benefits against risks. The results reveal a nuanced distribution of opinion. A plurality of participants (33.0%) indicated that 'Benefits slightly outweigh risks', suggesting a cautiously optimistic outlook toward AI chatbots. Meanwhile, 28.0% of participants viewed the risks and benefits as balanced, selecting 'Risks and benefits are equal'. On the more positive end, 13.0% believed that 'Benefits far outweigh risks', while on the more negative end, 17.0% felt that 'Risks slightly outweigh benefits' and 8.0% selected 'Risks far outweigh benefits'. These findings indicate that while there is a notable lean toward perceiving benefits over risks (with 46.0% selecting one of the two 'benefits outweigh risks' options), a notable portion of participants remain either neutral or concerned about risks. The data suggest that, among this diverse sample, attitudes toward AI chatbots are generally positive but tempered by caution and recognition of potential risks."
25661498-9f6d-4990-bd87-c2195670be8e,Poll,"Considering both potential benefits and risks, how do you assess the overall impact on society of AI systems that can perform tasks in the real world without human supervision?","The Remesh poll question explored participants' assessments of the overall societal impact of AI systems capable of performing tasks in the real world without human supervision, weighing both potential benefits and risks. Among the 1,023 participants, who were distributed across 244 population segments, responses revealed a diverse range of perspectives. A combined 42.0% expressed that risks outweigh benefits, with 16.0% indicating 'Risks far outweigh benefits' and 26.0% selecting 'Risks slightly outweigh benefits.' Meanwhile, 27.0% of participants viewed risks and benefits as equal. On the other hand, 30.0% perceived benefits as outweighing risks, with 22.0% choosing 'Benefits slightly outweigh risks' and 8.0% selecting 'Benefits far outweigh risks.' These findings suggest a notable degree of caution among participants, as a plurality leaned toward perceiving greater risks than benefits, while a substantial minority recognized potential advantages. The distribution of responses underscores the nuanced and divided public sentiment regarding the societal implications of autonomous AI systems."
