Category,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
"Access, Education, and Digital Divide",AI accessibility and the digital divide,AI's use in education and academic integrity,Cost and affordability of AI services,Need for more public education about AI,
"AI Capabilities, Limitations, and Future Risks",AI's future development and unknown risks,"AI's limitations, errors, and reliability",,,
"Bias, Fairness, and Inclusivity","AI bias, fairness, and inclusivity",Inclusivity for all ages and abilities in AI design,,,
Employment and Economic Impacts,Job loss and employment impacts of AI,,,,
"Ethical, Legal, and Regulatory Issues",Corporate interests and profit motives in AI,Ethical concerns and AI regulation,Government oversight and global governance of AI,,
Human Wellbeing and Relationships,AI's effect on human relationships and social connection,AI's impact on mental health and wellbeing,AI's influence on human skills and critical thinking,AI's role in healthcare and medical decisions,Concerns about AI replacing human interaction
Privacy and Security,Data privacy and security,,,,
Social and Cultural Effects,AI's effect on creativity and the arts,AI's influence on autonomy and decision-making,AI's use in customer service and daily life,Environmental impact of AI,Societal and cultural impacts of AI adoption
"Trust, Transparency, and Accountability","AI misinformation, deepfakes, and manipulation",Desire for more open-ended survey responses,Human-AI collaboration and maintaining human control,Transparency and accountability of AI companies,Trust in AI and its developers
Uncategorized,Other,,,,
,Uninformative answer,,,,
