Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
59515fc6-0a8b-47f1-96f7-818c506e7114, No,Negative,Uninformative answer,,,,
184f7212-4225-4a56-ba18-6c014105adeb,"A concern I have is that businesses are increasingly using low quality AI interfaces to reduce the amount of human interaction they provide. Usually when I contact a service provider it is because I am going to need a human to help, but now I often have to navigate through unhelpful AI interfaces.",Negative,AI's use in customer service and daily life,Concerns about AI replacing human interaction,,,
df304e4e-3f1e-4145-9295-3610bdcc391b,"A major problem with integrating AI is misunderstanding  capabilities of AI. Not about thinking it is sentient/sapient, but about how much it needs to be manually used and assessed. For example, I know someone who was a medical researcher. They lost their job when the company replaced their researchers with AI. Management didn't seem to understand that the research process still needs to be ""driven"" and assessed by expert researchers, and is not just data entry so AI can give you the answers.",Neutral,"AI's limitations, errors, and reliability",Human-AI collaboration and maintaining human control,Job loss and employment impacts of AI,,
c5baf132-b6b8-42ba-8eeb-1f71191dd1e5,A very interesting study…intriguing.,Positive,Other,,,,
d301f8bf-9ae2-48c1-b1e7-c63c16c12cc5,A very interesting thought provoking survey,Positive,Other,,,,
7815676b-36fb-43d5-a0ce-7286553e31bd,AI art like pictures and music and a threat to actual artist,Negative,AI's effect on creativity and the arts,,,,
cdccb3a9-b6c4-4499-be88-d1299211052a,AI can be dangerous when it is misused ,Negative,Ethical concerns and AI regulation,,,,
f701296f-3b91-4e92-91b5-92d083d1a4ac,AI can be good if used in the right settings but personal data shouldn't be given to AI as you have no idea where it will be shared.,Neutral,Data privacy and security,,,,
20d0d3b0-6067-4dbf-8d57-885c35e4bf35,AI developer's are chasing financial rewards and as such errors will be made.  a,Neutral,"AI's limitations, errors, and reliability",Corporate interests and profit motives in AI,,,
5e5b5570-adab-4a50-a791-e5f48dfd34a0,AI help in advanced healthcare ,Neutral,AI's role in healthcare and medical decisions,,,,
c4deaee5-1b60-422d-8cb2-2b293e1b770b,AI is built on biased data so this must be taken into account and must not be presented to society as an objective product based on truth,Negative,"AI bias, fairness, and inclusivity",,,,
6f7d5a64-5603-42a2-8bd7-ccefb734f4b8,"AI is, for most of us, a new experience. It's hard to have opinions about something of which you have little experience. The fear of something new and technological that would have some control over your life would tend to bias your attitude/opinion.",Neutral,AI's influence on autonomy and decision-making,Societal and cultural impacts of AI adoption,,,
6fb1cfb0-2701-4f29-adc2-0573895d23aa,AI needs to be strong regulated by governments and regulatory bodies so the companies making AI do not misuse information or push an agenda,Negative,Ethical concerns and AI regulation,Government oversight and global governance of AI,,,
1f1aa9f9-8fe9-4a04-8d23-353b8914b16d,"AI simplifies our lives by offering information and creative ideas. When used for positive purposes, AI can significantly benefit society.",Positive,AI's effect on creativity and the arts,Societal and cultural impacts of AI adoption,,,
caa2221c-f664-418b-adab-e46e18f86d31,"AI takes everything away from humans.Responsibility ,jobs,the human touch and life .",Neutral,AI's influence on autonomy and decision-making,AI's influence on human skills and critical thinking,Job loss and employment impacts of AI,,
ae07c497-acfd-4395-b635-e1c8a559730d,"AI will become a friend to someone who is loney or maybe going through a bad time, if trained correctly AI could save a person from doing harm. its just a taught but I believe in AI and it excites me",Neutral,AI's impact on mental health and wellbeing,,,,
d520d3a2-424f-44a7-83e0-5d8bd5a06415,"About specific topics of health. And mental health. Maybe the discussion about sharing things with different agencies (as I'd be against that). Also how it can be automated to be linked to other devices like lights, plugs, computer (that kind of thing), as that would make my life so much easier.",Neutral,AI's impact on mental health and wellbeing,AI's role in healthcare and medical decisions,AI's use in customer service and daily life,,
b6a81df1-de38-496d-b4ed-141dbaa31836,"Ai is a general term. some are better than others. If they develop over the next decade, my views may change

",Neutral,AI's future development and unknown risks,,,,
77d7c456-3b0d-45a9-810e-498d1868bcb6,Ai might try to act in the best interest of making people happy but that doesn’t always mean it’s the best thing to do. ,Neutral,AI's influence on autonomy and decision-making,,,,
469486e9-b286-45d3-9063-61c8f27df0cc,All good! maybe how is effects the climate? :),Positive,Environmental impact of AI,,,,
3dae542c-d7d5-4711-8d74-532f16cce5b5,"All good, thanks!",Positive,Other,,,,
4ed0949e-f0b1-4971-843e-ab60bcb3e587,All the questions seem pro ai...not many negative ,Neutral,Other,,,,
36a32f37-78a8-4155-aa0b-86d2a846b8ab,Although AI is helpful I do feel it’s taking away the ability for people to think and act for themselves ,Negative,AI's influence on human skills and critical thinking,,,,
281337de-d3a4-4665-ad32-c443e844cf12,Am really so happy to participate in this survey as Ai is about to take the world.,Positive,Other,,,,
0c5e38c5-1976-47a4-b8fa-6296552b043f,An interesting survey. Made me think about the future as an older person with AI in it. ,Positive,AI's future development and unknown risks,,,,
32d1b7bd-6982-469d-adf0-aa6a59a10546,"As AI becomes more common, I find myself understanding less and less about its capabilities. This is my own fault for not making the effort to learn. Some really simple guidelines / information  about AIs present and future capabilities would be useful for people like me who are no longer in the workforce.",Neutral,Inclusivity for all ages and abilities in AI design,Need for more public education about AI,,,
f428aa77-374a-463f-a1df-98d3a270f84f,"As a final point I am just concerned about the overall loss of jobs, this was covered in the survey but only briefly.  I just feel we are racing in to this without a proper plan or central oversight and regulation without enough consideration of how it will affect millions of people who could lose their jobs.    Just because we can do something does not mean we should do it.  I can see advantages but wonder at the human cost.  It is ok for me as I am older but for young people I am concerned.",Neutral,Ethical concerns and AI regulation,Government oversight and global governance of AI,Job loss and employment impacts of AI,Societal and cultural impacts of AI adoption,
e642b77e-73c6-46de-9c71-2f51412e80b2,"As with all bots, your grammar and spelling leave a great deal to be desired.",Negative,"AI's limitations, errors, and reliability",,,,
9780f3b7-e949-46a8-9e93-e2fecb86948b,At the beginning of the study I could not select the correct country I identify with as the cursor would not scroll down the options. I wanted to select United Kingdom,Neutral,Other,,,,
dfd27e09-9fbb-4c07-9943-798bb001fbeb,"Be careful out there .. As much as you want to help, others are seeking to empty bank accounts, scare mongering families in to paying up for treatment, After they hack grannies details ",Negative,Data privacy and security,,,,
b429f1c1-9b86-43f9-9e0a-2d06297f2fe5,Can’t think of anything else. ,Positive,Other,,,,
d269ffec-ab5b-4049-9f4d-c00bba040613,"Computer systems once programmed repeat the same thing every time even if its wrong. A human can se that it is wrong and change, Can AI recognise its own mistakes and change?",Negative,"AI's limitations, errors, and reliability",,,,
1fc54dfe-d76e-4d24-a700-8b20e58ea28d,"Current experiences with chatbots, and how we use them.  Type of interaction - leisure related.  ",Neutral,AI's use in customer service and daily life,,,,
a7b48721-4115-4d1f-9690-8ca588986ea1,Data security is extremely important. Human jobs are extremely important for society to run properly,Neutral,Data privacy and security,Ethical concerns and AI regulation,Job loss and employment impacts of AI,,
a917410c-3551-4ab0-9b99-14769996f529,Did not go into possible sources of bias and ethical conundrums and the impact of those enough.,Negative,"AI bias, fairness, and inclusivity",Ethical concerns and AI regulation,,,
feed6d8e-5956-43d0-a70d-c3245697fe12,Don't think so,Negative,Other,,,,
33a502dc-6914-490d-95ad-1f986164f4db,"Enjoyed , opened my eyes a little more to this subject. TY",Positive,Other,,,,
a78c3980-98c8-4654-a637-f960758a241d,"Everything I needed to know was contained herein. Furthermore, this questionnaire made me more open in my thought about AI in my life. Thanks for an excellent and thought provoking study.",Positive,Other,,,,
0e35d9bc-9bad-4f45-a9fb-b204716f0a6e,"Everything seems to have been covered, it was well written and thought out",Positive,Other,,,,
bb2d33d1-1b7c-423b-8de9-2758bbc6a5a6,Everything was covered and I want to thank you for the opportunity to express myself.,Positive,Other,,,,
b24e5285-c478-44fb-8d88-886833bf15b0,Everything was covered and very thought provoking. Thank you.,Positive,Other,,,,
664a1ca8-7088-47f3-8f9c-8b4abcae1099,Everything was covered by the survey,Neutral,Other,,,,
f39ffdf8-f954-4bc9-aeff-2bf64fd94a4e,"Everything was covered,nothing else comes to mind.",Neutral,Other,,,,
e19e1a58-d0c2-43e4-a3c6-51a19b54ba00,Everything was perfect and its really a nice study,Positive,Other,,,,
9317d03e-ce26-4587-8fa6-34cb1c02b364,Excellent survey,Positive,Other,,,,
095dbca4-e008-429e-ae65-9d63dd4e7811,Extremely worried that it will make humans lazy and not do their own research.  We have brains and should use them so AI should just help us gather information and not to rely on it.,Negative,AI's influence on human skills and critical thinking,Human-AI collaboration and maintaining human control,,,
5ad8908d-1460-4c1f-841d-9af4dd0584e4,For some of the questions where I was choosing 2 options I believe both were equally critical and would have chosen both if possible. ,Neutral,Other,,,,
6f2ef6f2-0b28-4913-95dc-b08ad16e190c,Good luck with the study,Positive,Other,,,,
5c62f725-0b3b-4b7b-9d2b-fa77a943bed8,Good luck with your research,Positive,Other,,,,
