Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6
b1ffe562-75c1-4468-acf8-98635385b870,"That I (we) do not understand why it's made that decision and being able to stop it if we disagree for whatever reason.

i.e. the loss of control in our lives and we are just puppets of the AI.",Negative,Difficulty overriding or reversing AI actions,Lack of transparency or explainability in decisions,Loss of personal control or autonomy,,,
02f7b704-786d-430c-b34d-d1b5f7cabf67,that it hallucinates and gets something wrong ,Negative,AI making harmful or wrong decisions,,,,,
e92b1eba-2cc1-4deb-91a3-ef01dc66c6e6,"A significant mistake will be made, such as providing incorrect medical information. ",Negative,AI making harmful or wrong decisions,Incorrect medical advice or health risks,Irreversible or hard-to-correct mistakes,,,
ee4f19eb-c81c-42ea-9389-4539081ec5b0,Acting on it's own and making mistakes which are hard to correct. ,Negative,AI making harmful or wrong decisions,Decisions made without consent or approval,Irreversible or hard-to-correct mistakes,,,
c2a71dda-6943-4fae-955d-4e019cc27dd9,"At the moment, it is just the reliability.  There are some decisions that I feel need an element of human nuance and I am not sure that A I has that capability yet",Neutral,"Lack of human judgment, empathy, or nuance",,,,,
6a1d38b0-18f5-4e89-bce1-fc2bda7e2adb,Being unaware of changes it makes,Neutral,Decisions made without consent or approval,Lack of transparency or explainability in decisions,,,,
1fc54dfe-d76e-4d24-a700-8b20e58ea28d,Getting it wrong!  I don’t think it’s at a stage yet to trust it unreservedly,Negative,AI making harmful or wrong decisions,Loss of trust in technology,,,,
ef895775-9633-44c2-b87c-d5cc4aac9254,"Hacking, glitches and fraud.",Negative,"Security risks, hacking, and fraud",,,,,
c212b7fa-6a8f-450e-a309-461a66379f17,"I worry that it would make a decision based on economic or 'logic' decisions and neglect a very important personal aspect such as wheter I can afford it, the emotional implications etc. This would potentially get me into a situation which could spiral into a worse scenario.",Negative,"AI making decisions based on logic, not values",AI misunderstanding family needs or context,Financial loss or unauthorized spending,"Lack of human judgment, empathy, or nuance",,
ea244f27-b8a2-4aff-9e2f-8dea3df0ddde,I would worry that it would do things i wouldnt want and make mistakes. Irreversible mistakes,Negative,AI making harmful or wrong decisions,Decisions made without consent or approval,Irreversible or hard-to-correct mistakes,,,
