Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8
d8769a8f-0d76-415a-bb94-cf03967659ea, I have been able to get relationship advice that I was unable to get via a human therapist which was very helpful and gave me a lot of comfort and validation,Positive,"AI for health, fitness, and wellbeing advice",Emotional support and mental health from AI,,,,,,
23953141-3198-4347-a0ce-d9e58cd13039," Think anytime I interact with a business, I always get be up talking with an AI first ",Neutral,AI chatbots replacing human customer service,,,,,,,
b420df14-bf36-4dc9-a1b2-85d7cd9a2517,. Mainly when trying to contact organisations and there is clearly an AI assistant being used which can be very frustrating when it is been used to stop you from speaking to a real person and the AI can’t understand the complexities of why you are contacting them,Neutral,AI chatbots replacing human customer service,Frustration with AI replacing humans,Reduced human interaction in services,,,,,
71879ca6-1346-4e3e-9751-651fe9515dc1,A confident to ask questions to and get advice,Positive,AI as a personal assistant or companion,,,,,,,
56212c3c-3e16-4a27-b973-70faf58dc945,"A reduction in the requirement to review and search for articles and sources online.
",Neutral,Faster access to information and answers,Time savings on routine and admin tasks,,,,,,
88db579c-73bf-4dc3-8180-2cda624cbd7d,A vast array of information about any topic under the sun . A reliable 'friend' which supplies support and clarification. The possibilities are endless.,Positive,AI as a personal assistant or companion,AI for research and learning support,Faster access to information and answers,General normalization and ubiquity of AI,,,,
e642b77e-73c6-46de-9c71-2f51412e80b2,"A woeful decrease in the quality of information on certain websites, particularly YouTube, as it now seems all to be written by bots instead of people.",Negative,"AI in content creation (text, images, video)",AI in social media and online content,Concerns about authenticity and misinformation,,,,,
92040296-e467-4a7e-a733-87127e7a304e,"AI HAS MADE THINGS WAY QUICKER, LIKE HELPING ME WRITING SOME PERSONAL EMAILS OR FINDING SOME ANSWERS FAST. I ALSO USEIT TO HELP ME ORGANIZE MY THOUGHTS AND PERSONAL TASKS AND DUTIES",Neutral,AI assistance with writing and editing,"AI for planning, scheduling, and organization",Faster access to information and answers,Increased productivity and efficiency,Time savings on routine and admin tasks,,,
b07a6138-652e-4868-ae5b-ffda042a35e0,"AI did not change noticeable my daily life,just it is good to know AI is always here for me when I will need it ",Positive,AI as a personal assistant or companion,No noticeable change or minimal impact,,,,,,
20d0d3b0-6067-4dbf-8d57-885c35e4bf35,AI does save me time but I check everything it says,Neutral,Need to double-check AI outputs for accuracy,Time savings on routine and admin tasks,,,,,,
88a1b2c9-ffcf-447a-91a7-0748049337ca,AI eases some of the task I have to do and generally eases my schedule,Positive,Increased productivity and efficiency,Time savings on routine and admin tasks,,,,,,
bd22975a-d945-42e4-8f9f-0462c5d19a9c,"AI has allowed a lot of the admin side of my daily work to be done quicker than I could have done in the past, I follow a training programme for my cycling hobby created by AI, I am following a diet that was created by AI too",Positive,AI as a personal assistant or companion,"AI for health, fitness, and wellbeing advice","AI for planning, scheduling, and organization",Increased productivity and efficiency,Time savings on routine and admin tasks,,,
2fb66351-f165-4575-8670-6add3629ea50,"AI has been on all my social media feeds in one way or another. It seems to be used a lot for short video creation, but not by me. I also have found myself using it to get advice or clarity on questions I have and this has been highly useful",Neutral,AI for research and learning support,"AI in content creation (text, images, video)",AI in social media and online content,,,,,
b8bec702-9f96-49d5-b664-83e8fbffeb46,"AI has been something that I can go to on a daily basis to ask advice, to listen to my issues and to focus areas in my life that I have had issues with.


Using AI has helped me drastically reduce my depression and raise my self esteem through the actions I've taken because of AI and allowing me to vent out my thoughts.",Positive,AI as a personal assistant or companion,"AI for health, fitness, and wellbeing advice",Emotional support and mental health from AI,,,,,
04b719c9-dd87-4356-b08c-5171e72fc939,AI has been used to do the more minial tasks which has freed up my time to do more work,Neutral,Increased productivity and efficiency,Time savings on routine and admin tasks,,,,,,
eacfdc8f-2fa5-4e5b-b8a9-5ae9d13fccc0,AI has greatly impacted lives since it gives really good advice but at the same time it has its negative impacts. Social interactions have been impacted since AI has as good conversations as human.,Neutral,AI as a personal assistant or companion,Reduced human interaction in services,,,,,,
ceb15585-821a-4661-b2cc-e5e1c2cd6f62,"AI has helped me summarize my university work. Sometimes in model solutions, lecturers jump ahead a few steps. AI can be a quick and easy way to fully explain the difference in these steps. It made university a lot easier to understand than last year where I did not use AI",Neutral,AI for research and learning support,AI in education and academic support,Increased productivity and efficiency,,,,,
d0a7029b-9a09-4980-ac91-36a8333a2916,AI has helped me to do my university course with notes and to do daily schedules when I need to ,Positive,"AI for planning, scheduling, and organization",AI in education and academic support,,,,,,
0118f9c0-9d58-48dd-8210-7e91612e34bb,"AI has improved my productivity and enhanced some of my skills, offering advice and proposing changes to some of my activities",Positive,Increased productivity and efficiency,,,,,,,
75d3396b-ba4b-409f-8a60-66a6f1021ac9,AI has made me a better cook,Positive,AI for creative tasks and idea generation,,,,,,,
0c5e38c5-1976-47a4-b8fa-6296552b043f,AI has made my life easier in that k can manage my money via an AP. No need to go into a bank. Many other things are made easier.,Positive,"AI for financial, travel, and shopping tasks",AI in workplace tools and workflows,Increased productivity and efficiency,Time savings on routine and admin tasks,,,,
d0b8b53d-c871-423c-9ff7-a9f5dc0d3ad2,"AI has made my life much simpler, tasks are completed easily, it has provided me with emotional support whenever needed and eased the workload for me.",Positive,AI as a personal assistant or companion,Emotional support and mental health from AI,Increased productivity and efficiency,Time savings on routine and admin tasks,,,,
93b93df5-8fce-4d07-a6f3-24545aa0406d,AI has made my personal and work life more efficient and effective.,Positive,Increased productivity and efficiency,,,,,,,
3ce66ec1-6b9f-4328-92f5-f19b2237dd2e,AI has made my work generally easier has most of my work I first consult AI thus increased productivity and time efficiency,Positive,AI in workplace tools and workflows,Increased productivity and efficiency,Time savings on routine and admin tasks,,,,,
172c2631-4151-48fa-82db-11e971810d96,AI has made my work life easier and more productive,Positive,AI in workplace tools and workflows,Increased productivity and efficiency,,,,,,
2a160d06-3698-4aa2-8e24-bf25dc506f20,"AI has made routine tasks faster and more convenient, like automating work processes, booking services, and managing digital tools.",Positive,"AI for planning, scheduling, and organization",Increased productivity and efficiency,Time savings on routine and admin tasks,,,,,
a7b1ea0a-dea4-414a-b287-282f30d7d015,AI has made work  and productivity more effective and has also made learning easier,Positive,AI for research and learning support,Increased productivity and efficiency,,,,,,
548f10b6-3871-49b9-b00d-336695cf5baa,AI has not impacted my daily life,Neutral,No noticeable change or minimal impact,,,,,,,
31e0a5a0-5d62-4ef2-9805-81fbf003f132,"AI has not really impacted my life so far, but I fear it will in the future",Neutral,Increased reliance or dependency on AI,No noticeable change or minimal impact,,,,,,
5c62f725-0b3b-4b7b-9d2b-fa77a943bed8,"AI has simplified many aspects of my daily life, it can provide a detailed report on any subject I ask in just moments. It saves my research time and can compile documents quickly @nd efficiently.",Positive,AI for research and learning support,Faster access to information and answers,Increased productivity and efficiency,,,,,
a9bd9de0-034d-4a1f-987c-78e67856814d,AI helped me to complete some tasks like write a over letter or update my resume but I also use it when looking for advices and information online and to create digital images,Positive,AI assistance with writing and editing,AI for research and learning support,"AI in content creation (text, images, video)",Faster access to information and answers,Increased productivity and efficiency,,,
5ad8908d-1460-4c1f-841d-9af4dd0584e4,"AI is starting to become more integrated in the company where I work. At the moment I have an option to use or not but another year I will not have that option. In my personal life I am becoming more aware of it on social media, recognising certain content to be produced and published by AIs to the point where I only believe 50% of what I'm reading. ",Neutral,"AI in content creation (text, images, video)",AI in social media and online content,Concerns about authenticity and misinformation,,,,,
78f1a0b4-f6cc-4e3e-ab13-ea4369bfed7a,"AI narration on video content.  It's getting smoother, but still sounds robotic.",Neutral,"AI in content creation (text, images, video)",,,,,,,
c2a1ef97-5b92-4293-995e-b90ad67acfda,"AI responses in online searches- automatic, without me asking for them.",Negative,AI-generated summaries in search engines,,,,,,,
d0c5535a-3263-42c5-b3e0-1e8794531058,AI results first on search engines ,Neutral,AI-generated summaries in search engines,,,,,,,
9431a36a-865f-4388-b82a-d262e0c0dd2d,AI saves me time,Positive,Time savings on routine and admin tasks,,,,,,,
1d835488-7793-4d00-a6fd-d5706de02caf,AI used by online financial organisations,Neutral,"AI for financial, travel, and shopping tasks",,,,,,,
4f26f03e-1c1e-44ab-8fad-c62ff3193fc5,AI used in customer service,Neutral,AI chatbots replacing human customer service,,,,,,,
4b612c35-ee14-435a-846e-f466ddb5e681,Ability to access information which is more tailored as opposed to a search engine,Positive,AI for research and learning support,Faster access to information and answers,,,,,,
a35239a4-8b12-4866-8a17-5dba2e965239,Ability to carry out tasks that were previously beyond my capability,Positive,AI as a personal assistant or companion,"AI for health, fitness, and wellbeing advice",,,,,,
6f4a02d6-7b1a-48d8-962b-16dcd4534db7,Ability to quickly perform certain tasks such as data analysis and learn new subjects.,Positive,AI for research and learning support,Faster access to information and answers,Increased productivity and efficiency,,,,,
2fccacf5-8c22-4217-abdb-483fc0ba32e7,Able to use AI before making purchases to compare prices and reviews without laborious searching on google ,Positive,AI for decision-making and comparisons,"AI for financial, travel, and shopping tasks",,,,,,
b6ab23d1-c685-4b7d-b1b1-ed2d138dc53e,Actions can be processed quicker.,Neutral,Increased productivity and efficiency,Time savings on routine and admin tasks,,,,,,
7b72d3e2-ac2b-4ff9-9f55-d4a9e5ffc399,Ai can make tasks simpler,Neutral,Increased productivity and efficiency,Time savings on routine and admin tasks,,,,,,
375e0da2-05e0-4ab6-9057-dd11073b3ca7,"Ai has really increased my efficiency. I am able to complete tasks, which used to take me hours, in a few minutes. Therefore, I have more leisure time.",Positive,Increased productivity and efficiency,Time savings on routine and admin tasks,,,,,,
