Question ID,Category,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9
43ce42e1-50f3-4a2a-8b48-b8add5041354,Accountability and transparency concerns,Lack of transparency or explainability in decisions,No accountability for AI errors,,,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Bias and fairness issues,Bias or unfairness in AI decision-making,,,,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Emotional and relational impacts,AI causing disconnection or reduced family interaction,AI causing public embarrassment or shame,AI replacing human roles in the family,Emotional or relational harm to family,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Incorrect or harmful decision-making,AI acting on incomplete or inaccurate data,AI making decisions for children or vulnerable members,AI making harmful or wrong decisions,AI making legal or contractual commitments,Financial loss or unauthorized spending,Incorrect medical advice or health risks,Irreversible or hard-to-correct mistakes,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Lack of human judgment and values,"AI making decisions based on logic, not values",AI making decisions that conflict with family values,AI misunderstanding family needs or context,"Lack of human judgment, empathy, or nuance",,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Loss of control and autonomy,Decisions made without consent or approval,Difficulty overriding or reversing AI actions,Loss of personal control or autonomy,Loss of trust in technology,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Manipulation and third-party interests,AI acting in interests of third parties or companies,AI being manipulated or exploited by others,,,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Over-reliance and skill loss,"Over-reliance on AI, loss of human skills",,,,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Privacy and data security risks,Data privacy breaches and information leaks,"Security risks, hacking, and fraud",Unwanted sharing of sensitive health data,,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,Uncategorized,Other,,,,,,,,
43ce42e1-50f3-4a2a-8b48-b8add5041354,,Uninformative answer,,,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,AI Integration in Daily Tasks and Services,AI chatbots replacing human customer service,"AI for financial, travel, and shopping tasks",AI in home automation and smart devices,AI in social media and online content,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Concerns about Accuracy and Authenticity,Concerns about authenticity and misinformation,Need to double-check AI outputs for accuracy,,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Content Creation and Creativity,AI for creative tasks and idea generation,"AI in content creation (text, images, video)",,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Human-AI Interaction and Social Impact,Frustration with AI replacing humans,Reduced human interaction in services,,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Information Access and Productivity,AI assistance with writing and editing,AI for decision-making and comparisons,"AI for language, translation, and accessibility",AI for research and learning support,AI in education and academic support,AI-generated summaries in search engines,Faster access to information and answers,Increased productivity and efficiency,Time savings on routine and admin tasks
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Minimal or No Impact,No noticeable change or minimal impact,,,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Normalization and Societal Perception,General normalization and ubiquity of AI,Increased reliance or dependency on AI,,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Personal Assistance and Wellbeing,AI as a personal assistant or companion,"AI for health, fitness, and wellbeing advice","AI for planning, scheduling, and organization",Emotional support and mental health from AI,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Workplace and Employment Effects,AI in workplace tools and workflows,Job impacts and employment concerns,,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,Uncategorized,Other,,,,,,,,
684f9c1d-01d4-42ca-b6eb-4190c0fe2c32,,Uninformative answer,,,,,,,,
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,Accountability and Oversight,Accountability for errors and harm caused by AI,Compensation or guarantees for mistakes or losses,Human oversight and support availability,Open-source or third-party review of AI systems,,,,,
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,Data Privacy and Security,"Ability to view, edit, and delete personal data","Data privacy, security, and protection","Disclosure of data collection, storage, and sharing practices",Option to opt out or restrict data use,Respect for user privacy and confidentiality,,,,
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,Ethical Standards and Fairness,Bias prevention and fairness in AI outputs,Ethical standards and responsible AI development,"Regulation, external audits, and compliance",,,,,,
