Question ID,Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8
237f1af0-71ec-43a0-8d00-0d65bed058c0,59515fc6-0a8b-47f1-96f7-818c506e7114, No,Negative,Uninformative answer,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,184f7212-4225-4a56-ba18-6c014105adeb,"A concern I have is that businesses are increasingly using low quality AI interfaces to reduce the amount of human interaction they provide. Usually when I contact a service provider it is because I am going to need a human to help, but now I often have to navigate through unhelpful AI interfaces.",Negative,AI's use in customer service and daily life,Concerns about AI replacing human interaction,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,df304e4e-3f1e-4145-9295-3610bdcc391b,"A major problem with integrating AI is misunderstanding  capabilities of AI. Not about thinking it is sentient/sapient, but about how much it needs to be manually used and assessed. For example, I know someone who was a medical researcher. They lost their job when the company replaced their researchers with AI. Management didn't seem to understand that the research process still needs to be ""driven"" and assessed by expert researchers, and is not just data entry so AI can give you the answers.",Neutral,"AI's limitations, errors, and reliability",Human-AI collaboration and maintaining human control,Job loss and employment impacts of AI,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,c5baf132-b6b8-42ba-8eeb-1f71191dd1e5,A very interesting study…intriguing.,Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,d301f8bf-9ae2-48c1-b1e7-c63c16c12cc5,A very interesting thought provoking survey,Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,7815676b-36fb-43d5-a0ce-7286553e31bd,AI art like pictures and music and a threat to actual artist,Negative,AI's effect on creativity and the arts,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,cdccb3a9-b6c4-4499-be88-d1299211052a,AI can be dangerous when it is misused ,Negative,Ethical concerns and AI regulation,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,f701296f-3b91-4e92-91b5-92d083d1a4ac,AI can be good if used in the right settings but personal data shouldn't be given to AI as you have no idea where it will be shared.,Neutral,Data privacy and security,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,20d0d3b0-6067-4dbf-8d57-885c35e4bf35,AI developer's are chasing financial rewards and as such errors will be made.  a,Neutral,"AI's limitations, errors, and reliability",Corporate interests and profit motives in AI,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,5e5b5570-adab-4a50-a791-e5f48dfd34a0,AI help in advanced healthcare ,Neutral,AI's role in healthcare and medical decisions,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,c4deaee5-1b60-422d-8cb2-2b293e1b770b,AI is built on biased data so this must be taken into account and must not be presented to society as an objective product based on truth,Negative,"AI bias, fairness, and inclusivity",,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,6f7d5a64-5603-42a2-8bd7-ccefb734f4b8,"AI is, for most of us, a new experience. It's hard to have opinions about something of which you have little experience. The fear of something new and technological that would have some control over your life would tend to bias your attitude/opinion.",Neutral,AI's influence on autonomy and decision-making,Societal and cultural impacts of AI adoption,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,6fb1cfb0-2701-4f29-adc2-0573895d23aa,AI needs to be strong regulated by governments and regulatory bodies so the companies making AI do not misuse information or push an agenda,Negative,Ethical concerns and AI regulation,Government oversight and global governance of AI,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,1f1aa9f9-8fe9-4a04-8d23-353b8914b16d,"AI simplifies our lives by offering information and creative ideas. When used for positive purposes, AI can significantly benefit society.",Positive,AI's effect on creativity and the arts,Societal and cultural impacts of AI adoption,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,caa2221c-f664-418b-adab-e46e18f86d31,"AI takes everything away from humans.Responsibility ,jobs,the human touch and life .",Neutral,AI's influence on autonomy and decision-making,AI's influence on human skills and critical thinking,Job loss and employment impacts of AI,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,ae07c497-acfd-4395-b635-e1c8a559730d,"AI will become a friend to someone who is loney or maybe going through a bad time, if trained correctly AI could save a person from doing harm. its just a taught but I believe in AI and it excites me",Neutral,AI's impact on mental health and wellbeing,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,d520d3a2-424f-44a7-83e0-5d8bd5a06415,"About specific topics of health. And mental health. Maybe the discussion about sharing things with different agencies (as I'd be against that). Also how it can be automated to be linked to other devices like lights, plugs, computer (that kind of thing), as that would make my life so much easier.",Neutral,AI's impact on mental health and wellbeing,AI's role in healthcare and medical decisions,AI's use in customer service and daily life,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,b6a81df1-de38-496d-b4ed-141dbaa31836,"Ai is a general term. some are better than others. If they develop over the next decade, my views may change

",Neutral,AI's future development and unknown risks,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,77d7c456-3b0d-45a9-810e-498d1868bcb6,Ai might try to act in the best interest of making people happy but that doesn’t always mean it’s the best thing to do. ,Neutral,AI's influence on autonomy and decision-making,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,469486e9-b286-45d3-9063-61c8f27df0cc,All good! maybe how is effects the climate? :),Positive,Environmental impact of AI,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,3dae542c-d7d5-4711-8d74-532f16cce5b5,"All good, thanks!",Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,4ed0949e-f0b1-4971-843e-ab60bcb3e587,All the questions seem pro ai...not many negative ,Neutral,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,36a32f37-78a8-4155-aa0b-86d2a846b8ab,Although AI is helpful I do feel it’s taking away the ability for people to think and act for themselves ,Negative,AI's influence on human skills and critical thinking,,,,,,,
