Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7
09346dfc-bf4d-4c59-9fb7-fc70f9ecd5f6," think they are developing their own thought patterns, with no emotional feeling",Negative,AI chatbots are not sentient or conscious,AI chatbots lack human emotions and empathy,,,,,
85f8f7d8-39c0-451e-861b-d960105bc95c,"""Trust"" is not quite the right word: I don't think AI is conscious (yet!) and actually capable of acting in my interest or not, but I would say I'm sceptical that AI output is going to be accurate. I would always want to check it myself.",Neutral,AI chatbots are not sentient or conscious,"AI chatbots are seen as tools, not entities to trust",AI chatbots can make mistakes or give inaccurate info,Users should verify AI chatbot responses,,,
7d115cb5-c3f9-4bf2-a585-71575ff60235,A chat bot is only as good as the question you ask it. It also only can give you a guess at a best answer based on what it has learnt from the internet. You are best to trust it with caution and be wise it might not always act in your best intrest,Neutral,AI chatbots act based on programming and user prompts,AI chatbots are limited by the quality of input,AI chatbots are not designed to act in users' best interests,AI chatbots can make mistakes or give inaccurate info,,,
5f6aa2f8-fc2e-4d05-9977-941f8ccefd64,A chatbot is.not.a.conscious entity. It doesn't act.in your best interests it acts.according to how.it has been programmed. ,Neutral,AI chatbots act based on programming and user prompts,AI chatbots are not designed to act in users' best interests,AI chatbots are not sentient or conscious,,,,
0ae0aa96-7f47-433d-baff-9dfd7e300d0c,"A.I is a brand new concept to myself, at the start of using any new application/product I tend to a bit careful. Over time as A.I advances and my trust builds I will tend to be a bit more relaxed and trusting.",Neutral,AI chatbots' impact is still uncertain or evolving,AI chatbots' trustworthiness depends on user experience,,,,,
e7458b65-54d9-4bd5-acc9-f98d9dc0a021,AI  chatbots are set up by humans so there is still the human touch so you have to trust that the human input is reliable. AI will give answers to questions without emotion with the information fed into the computer,Neutral,AI chatbots lack human emotions and empathy,Trust depends on the company or people behind AI,,,,,
500d4cc0-c149-4dca-8f9c-aeb0f819a09c,AI Chatbots are acting based on the information they have been built upon. Therefore whether they can be trusted or not is largely determined by how the companies building themselves Chatbots choose to source the data to be used. Currently they seem to be trustworthy although they hallucinate information. However I still have concerns over data safety. ,Neutral,AI chatbots act based on programming and user prompts,AI chatbots can make mistakes or give inaccurate info,AI chatbots may have security or privacy risks,Trust depends on the company or people behind AI,,,
2e346114-94da-4f55-a2f0-9d25d6a8892f,AI Chatbots are new - Need more time to understand first and then can make decision.,Neutral,AI chatbots are improving but still developing,AI chatbots' impact is still uncertain or evolving,,,,,
dd65bf21-345c-45e2-9834-9504b6e5acbf,"AI Chatbots respond depending on the inputs, both from the training material and the prompt used. Changes in either would change the output. Given the current state of chatbots, I would like a human to review before taking action.",Neutral,AI chatbots act based on programming and user prompts,AI chatbots are limited by the quality of input,Users should verify AI chatbot responses,,,,
10d9dac4-f771-4079-a82c-6a78bb633b95,AI can be manipulative ,Negative,AI chatbots can be manipulated or misused,,,,,,
78f1a0b4-f6cc-4e3e-ab13-ea4369bfed7a,"AI can get it wrong, sometimes badly. At least Google search results show links to the sources of information, but Chat GPT seems to spew out randomly trustworthy results.  It apologises when called out, but I'm sure many people take the first results at face value.",Neutral,AI chatbots are not always reliable or consistent,AI chatbots can make mistakes or give inaccurate info,Users should verify AI chatbot responses,,,,
4600c8b2-81a9-4d9a-be6b-91ddb9a488f0,"AI can give whatever response it wants which is not always the correct one. 

I find it worrrying that a computer can basically run your life if given the opportunity ",Neutral,AI chatbots can be helpful but not fully trustworthy,AI chatbots can be manipulated or misused,AI chatbots can make mistakes or give inaccurate info,,,,
ab81c57b-f41e-485e-8907-ab49ab9c15de,AI can make many mistakes and can be unreliable,Negative,AI chatbots are not always reliable or consistent,AI chatbots can make mistakes or give inaccurate info,,,,,
38b32d2e-a82b-4ba3-8d4b-06a702386b5f,AI can make mistakes. It doesn't have the knowledge to be 100% right on everything so it can give bad advice and incorrect information.,Negative,AI chatbots are not always reliable or consistent,AI chatbots can make mistakes or give inaccurate info,,,,,
e0ab2807-c7e8-4f50-b07a-e4b5e57720af,"AI can only give opinions currently via what it has learned, if the source was biased doesn’t that mean that the AI could also be biased",Neutral,AI chatbots act based on programming and user prompts,AI chatbots may reflect biases from training data,,,,,
1821255f-a11e-473d-83b3-f06ba921a394,AI can sometimes get information wrong but on balance I trust them more to give me the correct info than the wrong info,Neutral,AI chatbots can make mistakes or give inaccurate info,AI chatbots provide helpful and efficient information,,,,,
80182b60-f0be-4768-a67a-c653b91f5090,"AI cannot be biased, I'd like to think that it hadn't been programmed to be biased either, it cannot change it's outlook if it's had either a good day or a bad day, it won't have other things on it's mind and be distracted when interacting with you.",Neutral,AI chatbots are neutral or impartial tools,AI chatbots may reflect biases from training data,,,,,
7b07bb62-c383-40ab-9501-23d474f9894e,AI cannot understand what my 'best interests' are as it has no knowledge of me as a human being. It has no broader context of my life.,Negative,AI chatbots are not designed to act in users' best interests,AI chatbots are not sentient or conscious,AI chatbots lack personal knowledge of users,,,,
c431f6fd-4482-4ab1-b7e3-e7acf8d90619,AI can’t be trusted as it is not sentient,Negative,AI chatbots are not sentient or conscious,,,,,,
2dc608cc-c247-4cff-8730-962357fb1f5a,AI chabot usually give out a response based on the nature of the inputted prompt sent. The Tendency of the chatbot to give a response not in line with the issued prompt is low,Neutral,AI chatbots act based on programming and user prompts,AI chatbots are limited by the quality of input,,,,,
aa8eaad5-6651-4261-8349-6d78d8a4fd98,AI chat bot has no financial reason to be a certain way. i am wary of companies whos motive is to make money. the chatbot is not out to sell me anything so i would trust it more. ,Neutral,AI chatbots can be influenced by creators' motives,AI chatbots do not have hidden agendas,AI chatbots may be used for commercial or organizational goals,,,,
1e00bd56-2bee-4f75-9603-653efd010ac7,AI chat bots are firstly totally rubbish in my opinion. Everyone is going on about how great AI is and the output is literally complete rubbish. There is no way I would ever trust a computer program to act in my best interests. It will act in the interests of owners/maker. ,Neutral,AI chatbots are not always reliable or consistent,AI chatbots are not designed to act in users' best interests,AI chatbots can be influenced by creators' motives,AI chatbots may be used for commercial or organizational goals,,,
9336f126-cfb3-49b8-89ab-8bc5e1b4fdf2,AI chat bots don’t fully grasp my issues and give generic advice ,Negative,AI chatbots are limited by the quality of input,AI chatbots may not understand complex or nuanced queries,,,,,
ba45674a-fd74-4967-9009-ac7b321a186f,AI chatbot algorithms are configured by companies and individuals which is where the level of distrust starts,Negative,AI chatbots act based on programming and user prompts,Trust depends on the company or people behind AI,,,,,
a772b149-e095-45b0-86d9-9f9b1b020143,"AI chatbot are as good as the designers of AI have made them. AI chatbot do not have feelings or care about me. They have to carry out tasks; that's all. They might suggest doing something useful, but they make mistakes and, as a result, I do not trust them. ",Neutral,AI chatbots are not sentient or conscious,"AI chatbots are seen as tools, not entities to trust",AI chatbots can make mistakes or give inaccurate info,AI chatbots lack human emotions and empathy,AI chatbots provide helpful and efficient information,,
444ef59e-cd31-4044-881c-38a277757951,"AI chatbot are design to respond to users request according to the user's prompt. If you specifically instruct the Chatbot to act in a specific way or a person, it will act exactly as prompted which is in your best interest",Neutral,AI chatbots act based on programming and user prompts,AI chatbots do not have hidden agendas,,,,,
88a1b2c9-ffcf-447a-91a7-0748049337ca,AI chatbot does what it is prompted and provides information further on the specifications ,Neutral,AI chatbots act based on programming and user prompts,AI chatbots provide helpful and efficient information,,,,,
28aa61b2-c41b-4657-b20f-107bffa0df5b,AI chatbot is not interested in my personal benefits.,Negative,AI chatbots are not designed to act in users' best interests,,,,,,
afe3c08d-89e1-4f73-98c2-60071ba438a1,"AI chatbot is trained to act at the best interest of the user. Their productivity is solely based on the input and I believe with proper information they are able to deliver the best possible outcome to satisfy the user. Additionally, since they are able to access a vast amount of information within a short span of time, I believe they are capable to human satisfaction and less error",Positive,AI chatbots act based on programming and user prompts,AI chatbots are limited by the quality of input,AI chatbots provide helpful and efficient information,,,,
5e5b5570-adab-4a50-a791-e5f48dfd34a0,"AI chatbot wants to write what you want to reply, it may exaggerate your best bits and dehumanised your answer. ",Neutral,AI chatbots can be efficient but lack originality,AI chatbots lack human emotions and empathy,,,,,
