Category,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
Accountability and Oversight,Accountability for errors and harm caused by AI,Compensation or guarantees for mistakes or losses,Human oversight and support availability,Open-source or third-party review of AI systems,
Data Privacy and Security,"Ability to view, edit, and delete personal data","Data privacy, security, and protection","Disclosure of data collection, storage, and sharing practices",Option to opt out or restrict data use,Respect for user privacy and confidentiality
Ethical Standards and Fairness,Bias prevention and fairness in AI outputs,Ethical standards and responsible AI development,"Regulation, external audits, and compliance",,
Personalization and Customization,Customizable settings and user preferences,Personalization and understanding user needs,,,
Reliability and Performance,"Building trust through consistent, reliable performance",Time and experience to build user trust,"Track record, testing, and proven reliability",,
Transparency and Communication,"Clear explanation of AI logic, sources, and recommendations",Transparency about AI limitations and risks,Transparency about company motives and affiliations,Transparency in AI decision-making and operations,
User Control and Consent,Consent and approval before AI takes action,Limiting AI autonomy and setting boundaries,Safeguards and fail-safes for sensitive actions,User control over AI actions and decisions,
User Support and Education,"Non-intrusive, supportive, and helpful AI behavior",User education and clear communication about AI,User feedback mechanisms and responsiveness,,
Uncategorized,Other,,,,
,Uninformative answer,,,,
