Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7
792ce058-6ef9-410a-bc26-02300654c7b2,Accept full responsibility for any errors and return me to the position I was in beforehand.,Neutral,Accountability for errors and harm caused by AI,Compensation or guarantees for mistakes or losses,,,,,
143071bf-2824-4c62-87fa-ca8327aa88d4,Asking for approval and querying actions before taking them even if it slows the process.,Neutral,Consent and approval before AI takes action,User control over AI actions and decisions,,,,,
88a94c66-559a-47c5-98db-cf8d6e907547,Be entirely transparent about how it operates and give me a right of veto over its decisions,Neutral,Transparency in AI decision-making and operations,User control over AI actions and decisions,,,,,
e50f83a9-1a63-4123-abd7-4ff75c3e6b7e,Be transparent so that I can see why & how decisions are made and the factors behind them,Neutral,"Clear explanation of AI logic, sources, and recommendations",Transparency in AI decision-making and operations,,,,,
6143dcab-3695-4d29-8a4b-a97baaf8d5b9,Check with me for approval before taking any action.,Neutral,Consent and approval before AI takes action,User control over AI actions and decisions,,,,,
775a7c21-bf0b-4e4d-ba12-8135cbb019f2,Make sure that they can 100% filter out misinformation ,Neutral,Bias prevention and fairness in AI outputs,,,,,,
dc1f60c2-11e4-4d3e-8120-42cf0f02445f,Making sure I review every decision before it's taken,Neutral,User control over AI actions and decisions,,,,,,
c70e04c3-c295-4443-a2ea-435676960b5b,That it deals with requests and situations in a respectful and non judgemental manner. ,Positive,"Non-intrusive, supportive, and helpful AI behavior",,,,,,
dcceb746-50f3-4787-82fc-cf976c409b47,"have  a very clear, robust compensation policy",Positive,Compensation or guarantees for mistakes or losses,,,,,,
a7f2b4f9-0cac-4e8e-b4e6-70112da2f804,Allow a trial where all decisions it makes are clearly explained ahead of any action.,Positive,"Clear explanation of AI logic, sources, and recommendations",Consent and approval before AI takes action,,,,,
2fccacf5-8c22-4217-abdb-483fc0ba32e7,Always ask for approval before actioning ,Neutral,Consent and approval before AI takes action,User control over AI actions and decisions,,,,,
e8751b67-84d1-4789-a4ad-571ef2b661ab,Always confirm with me before arranging anything on my behalf. ,Positive,Consent and approval before AI takes action,,,,,,
f8c51cc0-8063-4935-ab44-1b99819d7c45,Always consult me before making final decisions,Positive,Consent and approval before AI takes action,,,,,,
f46982c3-b12b-41dc-b7e6-36056ceff32f,Ask them to delete my data after every interaction ,Negative,"Ability to view, edit, and delete personal data",,,,,,
4ecc8a45-7ffb-41b0-be58-9382ba4ed0c7,"Be completely transparent about everything the assistant is doing, and showing exactly how the assistant came to that decision. Also showing exactly what personal information the assistant holds on me",Neutral,"Data privacy, security, and protection",Transparency in AI decision-making and operations,,,,,
b0d017f4-505c-4a75-95bf-d0e72f82b459,Be completely transparent around data and decision-making,Neutral,"Data privacy, security, and protection",Transparency in AI decision-making and operations,,,,,
702c2994-346d-4a10-a380-ef0b285c071b,Be consistent and reliable with any information it provides so that trust is built.,Neutral,"Building trust through consistent, reliable performance",,,,,,
b1e5a022-c728-438b-b159-04e30c1c18a7,Be open and transparent. Willing to delete data when told to,Neutral,"Ability to view, edit, and delete personal data",Transparency in AI decision-making and operations,,,,,
9431a36a-865f-4388-b82a-d262e0c0dd2d,Be transparent about how personal data is stored/shared,Neutral,"Disclosure of data collection, storage, and sharing practices",Transparency in AI decision-making and operations,,,,,
756aadb7-daf7-4132-b7c5-be19945fa7a6,"Be transparent about intentions, actions and mistakes. ",Negative,Accountability for errors and harm caused by AI,Transparency in AI decision-making and operations,,,,,
5f6aa2f8-fc2e-4d05-9977-941f8ccefd64,Be transparent and open about their goals and.processes,Neutral,Transparency about company motives and affiliations,Transparency in AI decision-making and operations,,,,,
d9f4c70b-6957-4e9e-b750-43dcb27ffcfc,Be transparent on why they suggest certain actions and who is benefiting from them. They need to make decisions that are best for me and my family and not what is best for themselves.,Negative,"Clear explanation of AI logic, sources, and recommendations",Transparency about company motives and affiliations,,,,,
78f1a0b4-f6cc-4e3e-ab13-ea4369bfed7a,"Being responsive to feedback, and that the feedback is assessed by people, not bots.",Neutral,User feedback mechanisms and responsiveness,,,,,,
4da2abc0-a9ae-4dba-b5f1-03d0391113d9,Being transparent about how my data is handled,Neutral,"Data privacy, security, and protection",,,,,,
b5fa0270-85e0-4a1b-bd80-2b291149537d,Ensure it asks for approval from users before making big decisions and gives full control over data ,Neutral,Consent and approval before AI takes action,"Data privacy, security, and protection",User control over AI actions and decisions,,,,
e299212f-4850-4ee1-ba28-5510e14c58e0,Ensure strict guidelines is followed in handling data and there is human supervision ,Neutral,"Data privacy, security, and protection",Human oversight and support availability,,,,,
9273da3d-69fb-4203-bb96-ef8764855a90,"Ensure that data safety and security is taken seriously. That our information is not used for any other purposes without our knowledge. Also if something goes wrong, there is a way to easily get that solved.",Neutral,Accountability for errors and harm caused by AI,"Data privacy, security, and protection",Human oversight and support availability,,,,
8b60ce8f-7181-4e93-b60c-eb18c5fc5132,Full transparency in regards where and with whom my data will be shared with and assurance that I can take full control if required.,Positive,"Data privacy, security, and protection","Disclosure of data collection, storage, and sharing practices",Option to opt out or restrict data use,Transparency in AI decision-making and operations,,,
851b2d8a-a29a-4797-843f-69412fe9224f,Full transparency on actions and how it works.,Positive,Transparency in AI decision-making and operations,,,,,,
162db239-cc04-41a0-96cd-8dc517c74f90,Get it independently monitored and verified regularly in an accountable manner,Neutral,Human oversight and support availability,"Regulation, external audits, and compliance",,,,,
35baf671-513e-4aa8-9baa-a785885402ae,Give me final control over outcomes ,Neutral,User control over AI actions and decisions,,,,,,
45d0fcfd-4901-4784-bae2-f5b1721868c2,Have 100% control of the data and where it is stored with updates exactly on the data,Positive,"Ability to view, edit, and delete personal data",User control over AI actions and decisions,,,,,
80bfe81a-cdfa-4a07-8d76-3da77fba12d5,Have a strong Privacy Policy and tell the user exactly what they are doing with the data. Also give the use the option to delete all of their data permanently. ,Neutral,"Ability to view, edit, and delete personal data","Data privacy, security, and protection","Disclosure of data collection, storage, and sharing practices",,,,
cc555d88-9c55-475f-adf6-42ab0fd00db0,Have easily accessible explainable transparency of decision making.,Positive,"Clear explanation of AI logic, sources, and recommendations",Transparency in AI decision-making and operations,,,,,
2797f1ec-cc58-4fc2-8d9d-5fe422d5311c,"Have rules and regulations that clearly show how they operate, how they protect my data, and how they make decisions; and regularly seek feedback from customers.",Neutral,"Data privacy, security, and protection","Regulation, external audits, and compliance",Transparency in AI decision-making and operations,User feedback mechanisms and responsiveness,,,
8f81b86e-86e4-4eac-9295-9d76395e83c6,It should allow me to decide what I wish to share. I should also be given access to the information the company has stored about my family and I.,Neutral,"Ability to view, edit, and delete personal data","Data privacy, security, and protection","Disclosure of data collection, storage, and sharing practices",,,,
29053d4a-048d-422e-9769-f7ef236f7776,Not make any mistakes if doing something not done before check before doing ,Neutral,Accountability for errors and harm caused by AI,,,,,,
05345c8c-63cd-40c6-ad44-81c20704ca91,Probably check in with myself and always ask permission before completing actions. It should never act on my behalf and add explanations to why they believe the action should be completed ,Negative,Consent and approval before AI takes action,Ethical standards and responsible AI development,Limiting AI autonomy and setting boundaries,User control over AI actions and decisions,,,
14d4f526-3218-49fa-8b13-75e4d494f5a2,Provide assurance maybe with insurance?,Neutral,Compensation or guarantees for mistakes or losses,,,,,,
