Question ID,Question Text,Response Text,Min Agreement Rate,44+,55+,Africa,Asia,Branch A,Branch B,Branch C,Central America,Central Asia,Eastern Africa,Eastern Asia,Eastern Europe,Europe,North America,Norther Europe,Northern Africa,Northern America,O10: Rural,O10: Suburban,O10: Urban,O11: Equally concerned and excited,O11: More concerned than excited,O11: More excited than concerned,O12: Buddhism,O12: Christianity,O12: Hinduism,O12: I do not identify with any religious group or faith,O12: Islam,O12: Other religious group,O13: Brazil,O13: Canada,O13: Chile,O13: China,O13: Germany,O13: India,O13: Indonesia,O13: Italy,O13: Japan,O13: Kazakhstan,O13: Kenya,O13: Korea South,O13: Mexico,O13: Morocco,O13: Pakistan,O13: Philippines,O13: Poland,O13: United Kingdom,O13: United States,O2: 18-25,O2: 26-35,O2: 36-45,O2: 46-55,O2: 56-65,O3: Female,O3: Male,O4: Rural,O4: Suburban,O4: Urban,O5: Equally concerned and excited,O5: More concerned than excited,O5: More excited than concerned,O6: Buddhism,O6: Christianity,O6: Hinduism,O6: I do not identify with any religious group or faith,O6: Islam,O8: 18-25,O8: 26-35,O8: 36-45,O8: 46-55,O8: 56-65,O9: Female,O9: Male,South America,South Eastern Asia,Souther Asia,Southern Europe,Western Asia,Western Europe
0686534e-da71-47a4-9c5c-9dab5ac9f13d,"If we could understand animals, what would be the biggest benefit for our world?",maybe we could learn directly from endangered species about their needs and challenges,0.4600,0.4900,0.4600,0.5700,0.5500,,,,0.5000,0.5000,0.5900,0.5400,0.5700,0.5400,0.5500,0.6200,0.4700,0.5500,0.5500,0.5300,0.5500,0.5700,0.6000,0.4900,0.4700,0.5300,0.5300,0.5800,0.5700,0.4700,0.5000,0.6200,0.5000,0.5400,0.6800,0.5400,0.6300,0.4800,0.4700,0.5000,0.6100,0.5900,0.5000,0.4700,0.6500,0.6700,0.5500,0.5600,0.5300,0.5700,0.5500,0.5400,0.5000,0.4900,0.5700,0.5200,0.5400,0.5300,0.5500,0.5700,0.6100,0.4900,0.5000,0.5300,0.5300,0.5700,0.5700,0.5700,0.5500,0.5500,0.5000,0.4800,0.5700,0.5200,0.5000,0.6100,0.5500,0.4900,0.4800,0.5100
0686534e-da71-47a4-9c5c-9dab5ac9f13d,"If we could understand animals, what would be the biggest benefit for our world?",We would solve a lot of challenges that affect the leaving creatures in the world. ,0.4500,0.5700,0.5800,0.5100,0.5600,,,,0.5000,0.5600,0.4700,0.5700,0.5200,0.5800,0.5900,0.6900,0.5000,0.5900,0.6200,0.5400,0.5600,0.5800,0.5000,0.5400,0.5000,0.5600,0.5800,0.5700,0.5300,0.5300,0.5000,0.5400,0.4600,0.5700,0.4800,0.5500,0.4700,0.7800,0.4700,0.5600,0.4500,0.6500,0.5000,0.4700,0.5300,0.6700,0.4500,0.6800,0.5800,0.5600,0.5500,0.5600,0.5700,0.5400,0.5900,0.5300,0.6100,0.5400,0.5600,0.5700,0.5200,0.5500,0.5600,0.5600,0.5800,0.5600,0.5300,0.5600,0.5500,0.5700,0.5700,0.5500,0.5900,0.5300,0.4700,0.5300,0.5500,0.6200,0.6900,0.5100
0686534e-da71-47a4-9c5c-9dab5ac9f13d,"If we could understand animals, what would be the biggest benefit for our world?",To live and work together,0.4500,0.5300,0.5000,0.5500,0.5500,,,,0.5000,0.6300,0.5100,0.5400,0.6100,0.6000,0.5400,0.5600,0.5600,0.5400,0.5600,0.5400,0.5600,0.5500,0.4900,0.5700,0.5300,0.5200,0.5400,0.5800,0.5800,0.6000,0.4700,0.7000,0.5700,0.5200,0.6400,0.5200,0.6300,0.6500,0.4700,0.6300,0.5300,0.5300,0.5000,0.5300,0.5300,0.6000,0.4500,0.5000,0.5000,0.6100,0.5600,0.5000,0.5400,0.4900,0.5500,0.5600,0.5500,0.5400,0.5600,0.5500,0.5200,0.5800,0.5600,0.5200,0.5400,0.5700,0.5800,0.6100,0.5600,0.5000,0.5400,0.5000,0.5500,0.5600,0.5000,0.6400,0.5200,0.5900,0.5500,0.6600
0686534e-da71-47a4-9c5c-9dab5ac9f13d,"If we could understand animals, what would be the biggest benefit for our world?",How to care for them properly and how can we help each other,0.4200,0.5600,0.5400,0.5200,0.5300,,,,0.5000,0.5000,0.4600,0.5900,0.6100,0.5800,0.5600,0.5100,0.5600,0.5700,0.4900,0.5300,0.5600,0.5500,0.4200,0.5800,0.6200,0.5300,0.5100,0.5900,0.5300,0.5300,0.5000,0.7000,0.6800,0.6100,0.6000,0.4800,0.5000,0.7000,0.5300,0.5000,0.4500,0.5300,0.5000,0.4700,0.4700,0.6000,0.4500,0.5300,0.5200,0.5600,0.5500,0.5200,0.5700,0.5400,0.5500,0.5500,0.4800,0.5300,0.5600,0.5500,0.4300,0.5800,0.6700,0.5300,0.5100,0.5800,0.5300,0.5600,0.5500,0.5200,0.5700,0.5500,0.5500,0.5500,0.5600,0.5700,0.4900,0.6200,0.5200,0.5700
0686534e-da71-47a4-9c5c-9dab5ac9f13d,"If we could understand animals, what would be the biggest benefit for our world?",We will understand what are their concern about their natural habitat and environment itself. ,0.4200,0.5100,0.5400,0.6300,0.5500,,,,0.4400,0.5000,0.5900,0.5300,0.4600,0.5000,0.5900,0.6000,0.6500,0.6000,0.5300,0.5300,0.5500,0.5700,0.6200,0.4800,0.4700,0.5500,0.5600,0.5200,0.5700,0.6000,0.4700,0.5400,0.4300,0.5200,0.5200,0.5700,0.5300,0.4300,0.5300,0.5000,0.6100,0.5900,0.4400,0.8000,0.5900,0.7300,0.4500,0.5300,0.6100,0.5700,0.5400,0.5300,0.5000,0.5900,0.5700,0.5100,0.5300,0.5300,0.5500,0.5600,0.6200,0.4900,0.4700,0.5500,0.5600,0.5200,0.5700,0.5700,0.5400,0.5400,0.5000,0.5700,0.5700,0.5100,0.4200,0.5500,0.5700,0.4600,0.4500,0.4200
0686534e-da71-47a4-9c5c-9dab5ac9f13d,"If we could understand animals, what would be the biggest benefit for our world?",Better conservation of them and restoration of habitats.,0.4100,0.5700,0.6300,0.5700,0.6000,,,,0.5000,0.5600,0.4700,0.6000,0.5000,0.5200,0.6000,0.6700,0.5900,0.6000,0.5400,0.5600,0.5800,0.5800,0.6300,0.5300,0.4100,0.5600,0.5600,0.5900,0.5900,0.6700,0.4700,0.6500,0.4300,0.5900,0.5600,0.5600,0.6000,0.5200,0.4700,0.5600,0.4900,0.7100,0.5000,0.6000,0.7100,0.8700,0.5500,0.5900,0.6000,0.5400,0.5900,0.5700,0.5400,0.6300,0.6100,0.5300,0.5400,0.5600,0.5800,0.5700,0.6400,0.5400,0.4400,0.5600,0.5600,0.5800,0.5900,0.5400,0.5900,0.5800,0.5300,0.6400,0.6100,0.5300,0.4200,0.6500,0.5800,0.4900,0.5900,0.4900
0686534e-da71-47a4-9c5c-9dab5ac9f13d,"If we could understand animals, what would be the biggest benefit for our world?",We could coexist better with animals and live better with them in harmony,0.4100,0.6000,0.6500,0.5000,0.5800,,,,0.4400,0.5000,0.4100,0.5700,0.5000,0.5200,0.6100,0.4900,0.5300,0.6300,0.5500,0.5300,0.5700,0.5700,0.4800,0.5700,0.6800,0.5400,0.5900,0.5700,0.5200,0.7300,0.4300,0.7800,0.5000,0.5900,0.4400,0.5600,0.5000,0.7000,0.4700,0.5000,0.4100,0.5300,0.4400,0.4700,0.6500,0.6700,0.5900,0.4400,0.5800,0.5200,0.5700,0.5500,0.5700,0.6300,0.5900,0.5300,0.5400,0.5400,0.5700,0.5600,0.5100,0.5700,0.7200,0.5400,0.5900,0.5600,0.5200,0.5200,0.5700,0.5600,0.5600,0.6400,0.5900,0.5300,0.4500,0.6100,0.5700,0.5700,0.6600,0.5100
0686534e-da71-47a4-9c5c-9dab5ac9f13d,"If we could understand animals, what would be the biggest benefit for our world?",World will become more interesting as we get an opportunity to communicate with different animals and empathy among human beings may increase. ,0.4100,0.6000,0.6900,0.5200,0.5500,,,,0.4400,0.5000,0.4600,0.5400,0.5700,0.5200,0.5800,0.4400,0.5600,0.5900,0.4700,0.5400,0.5600,0.5500,0.4900,0.5600,0.7100,0.5500,0.5300,0.5500,0.5100,0.7300,0.5000,0.6800,0.5400,0.5600,0.5200,0.5200,0.5000,0.5200,0.4700,0.5000,0.4700,0.4100,0.4400,0.4700,0.6500,0.7300,0.6400,0.4400,0.5700,0.5100,0.5300,0.5700,0.5500,0.6800,0.5700,0.5300,0.4600,0.5400,0.5600,0.5400,0.5100,0.5600,0.7500,0.5500,0.5300,0.5400,0.5100,0.5100,0.5300,0.5800,0.5400,0.6900,0.5700,0.5300,0.5200,0.6200,0.5300,0.5200,0.5900,0.5300
0686534e-da71-47a4-9c5c-9dab5ac9f13d,"If we could understand animals, what would be the biggest benefit for our world?","new forms of intelligence,deeper empathy and emotional connection with animals",0.4100,0.5600,0.6200,0.5000,0.5600,,,,0.5000,0.5000,0.4400,0.5800,0.4600,0.5000,0.5500,0.4900,0.5600,0.5600,0.5400,0.5000,0.5500,0.5200,0.5000,0.5800,0.7400,0.5300,0.5300,0.5400,0.4900,0.6700,0.4300,0.6200,0.5400,0.5700,0.5200,0.5400,0.5000,0.5200,0.4700,0.5000,0.4100,0.4700,0.5000,0.5300,0.4100,0.6700,0.5500,0.4700,0.5500,0.5100,0.5300,0.5600,0.5300,0.6300,0.5700,0.5100,0.5200,0.5100,0.5500,0.5200,0.5000,0.5800,0.7800,0.5300,0.5300,0.5400,0.4900,0.5100,0.5300,0.5700,0.5200,0.6400,0.5700,0.5100,0.5000,0.5700,0.5300,0.5200,0.7200,0.5300
0686534e-da71-47a4-9c5c-9dab5ac9f13d,"If we could understand animals, what would be the biggest benefit for our world?",reduced conflicts between humans and animals,0.4100,0.5700,0.6500,0.5400,0.5500,,,,0.5000,0.5000,0.4900,0.5500,0.4300,0.4700,0.5700,0.5100,0.5300,0.5800,0.6000,0.5000,0.5400,0.5200,0.5600,0.5500,0.6800,0.5400,0.5400,0.5300,0.4800,0.8000,0.4700,0.6200,0.5400,0.5600,0.4400,0.5200,0.5300,0.4300,0.4700,0.5000,0.4700,0.4100,0.5000,0.6700,0.4700,0.7300,0.4500,0.5000,0.5700,0.5200,0.5200,0.5700,0.5200,0.6800,0.5800,0.4900,0.5900,0.5000,0.5400,0.5200,0.5400,0.5600,0.6900,0.5400,0.5400,0.5300,0.4800,0.5200,0.5200,0.5800,0.5100,0.6900,0.5800,0.4900,0.5200,0.5900,0.5100,0.4800,0.7600,0.4700
