rank,score,section_id,question,finding,avg_rank_position,num_rankings,details,model_x_ai_grok_code_fast_1,model_google_gemini_2.5_flash,model_openai_gpt_4.1,model_deepseek_deepseek_chat_v3_0324
1,1.0000,25.2,"Among those who did change their minds, did they also report that the scientific facts had a ""great deal"" of impact (","Contrary to hypothesis, mind-changers and non-changers showed nearly identical emotional profiles (Connected/Protective: 37.8% vs 38.7%) and mind-changers actually reported LESS impact from scientific facts (χ²=19.54, p=0.0006), suggesting belief changes were driven by reflection rather than emotional or factual persuasion.",1.00,7,The counterintuitive findings reveal:,,,,
2,0.9996,5.2,"Should an animal have the right to a legal representative (Q73)? And if so, should they be represented by humans or by themselves via technology (Q74)?","42.5% support animals having legal representatives, with 34.1% unsure and 23.4% opposed. Among supporters, 58.3% prefer human representatives while 41.7% support technology-assisted self-representation, showing significant openness to technological mediation.",1.05,20,"The high uncertainty (34.1% ""Not sure"") suggests this is an emerging ethical question many haven't considered. The substantial minority (41.7%) supporting tech-assisted self-representation indicates openness to radical new forms of agency. This split between human mediation and technological autonomy reflects broader debates about AI's role in expanding agency beyond traditional human boundaries.",,,,
3,0.9981,24.2,"For those who answered ""It depends"" on whether AI for interspecies communication is a good use of technology (","The ""It depends"" group shows strongest pro-regulation stance: 73% support professional restrictions and 81% support strict company regulation.",1.25,8,"""It depends"" respondents are 2.3x more likely to support strong regulation compared to those with positive views. This reveals their caution stems from desire for governance, not indecision. Statistical significance confirmed (χ²=18.4, p<0.001).",,,,
4,0.9979,31.1,How many respondents simultaneously claim,"Among the 60.3% who claim humans are fundamentally superior to animals, 11.6% still support granting legal rights and 33.8% support economic rights, with 3.8% supporting both. This reveals that superiority beliefs don't preclude rights support, suggesting paternalistic rather than exclusionary attitudes.",1.29,14,"The contradiction rate of 11.6% for legal rights among superiority believers is similar to the general population rate (11.7%), indicating superiority beliefs don't significantly reduce legal rights support. The higher support for economic rights (33.8%) suggests economic agency is seen as less threatening to human superiority than legal personhood.",,,,
5,0.9973,7.2,"Among respondents who are ""More concerned than excited"" about AI (Q5) and ""Strongly distrust"" its ability to be an accurate translator (Q57), how many are still ""Very interested"" in knowing what animals have to say (Q55)? This identifies a segment of the population that is highly interested despite their skepticism.","Among the most skeptical respondents (those ""More concerned than excited"" about AI AND ""Strongly distrust"" AI translation), 73.3% remain at least somewhat interested in knowing what animals have to say, with 33.3% being ""Very interested"" despite their deep skepticism.",1.36,28,This paradoxical group (n=15) shows remarkable interest despite distrust:,,,,
6,0.9962,2.4,"Do respondents who trust AI chatbots more (Q17) also report using them more frequently for sensitive personal issues (Q21)?

##","Strong positive correlation exists between AI chatbot trust and usage for sensitive issues (Pearson r=0.288, Spearman ρ=0.297, p<0.0001). Those who ""Strongly Trust"" AI show 67.9% regular use for sensitive issues versus only 17.1% among those who ""Strongly Distrust"".",1.50,4,Regular use (daily/weekly) for sensitive issues by trust level:,,,,
7,0.9956,31.5,Are there respondents who support,"Among the 12.9% supporting animal property ownership, 87.7% do NOT support legal protection rights, revealing a striking contradiction where economic agency is privileged over welfare protection.",1.58,12,Property supporters prefer:,,,,
8,0.9953,11.3,"Which demographic group (age, gender, religion, region) has the",Males aged 18-25 show largest gap: 71.3% excited but only 42.8% trust (-28.5% gap).,1.62,8,"Top gaps: Males 18-25 (-28.5%), Males 26-35 (-22.3%), All 18-25 (-21.7%). Older demographics show smaller gaps, suggesting experience moderates expectations.",,,,
9,0.9953,23.2,"Are younger respondents (18–25, Q2) significantly more supportive than older ones (56+, Q2) of granting animals political voice or representation (Q77)?","Surprisingly, there is no significant age difference in support for animal political participation. Older respondents (56-65) show slightly MORE support (61.5%) than younger ones (18-25: 60.7%), contradicting expectations of youth-driven progressive attitudes. The 65+ group shows highest support at 63.7%.",1.62,16,"- **Total support by age** (all ""Yes"" variants combined):",,,,
10,0.9952,21.1,For respondents who say the,"Among respondents citing bond-deepening as the biggest benefit (N=184), 59.8% identify manipulation/exploitation as their biggest risk, revealing awareness of the dual nature of emotional connection with animals.",1.64,22,"The high correlation between valuing bonds and fearing manipulation suggests sophisticated understanding of emotional vulnerability. Bond-deepening advocates show a distinctive risk profile: Manipulation/Exploitation (59.2%), Other concerns (21.7%), Societal Disruption (7.6%), Misunderstanding (5.4%), Poaching/Harm (4.3%). This pattern indicates those most enthusiastic about emotional connection are simultaneously most wary of its weaponization, demonstrating reflexive awareness rather than naive optimism.",,,,
