Question ID,Question Text,Response Text,Num Valid Segments,MinAgree_100pct,MinAgree_95pct,MinAgree_90pct,MinAgree_80pct,MinAgree_70pct,MinAgree_60pct,MinAgree_50pct,MinAgree_40pct,MinAgree_30pct,MinAgree_20pct,MinAgree_10pct
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,It may disclose confidential personal information which may bring issues.,62,0.4700,0.4900,0.5000,0.5200,0.5300,0.5400,0.5500,0.5600,0.5700,0.5800,0.6200
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,It can leak private data for the individuals ,62,0.4400,0.4400,0.4700,0.5100,0.5300,0.5300,0.5500,0.5600,0.5700,0.5800,0.6000
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,Worry about making the wrong decision and not having my permission.,62,0.4400,0.4700,0.4700,0.5100,0.5300,0.5400,0.5700,0.5700,0.5800,0.6000,0.6400
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Be transparent with how they get their information and what they are doing with it ,62,0.4400,0.4500,0.4600,0.5100,0.5300,0.5300,0.5400,0.5500,0.5800,0.6000,0.6200
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Data protection ensure that sensitive information is kept private.,62,0.4400,0.4600,0.4700,0.5000,0.5200,0.5300,0.5400,0.5500,0.5800,0.5900,0.6300
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Being transparent about the data they collect from users. ,62,0.4400,0.4600,0.4700,0.5100,0.5300,0.5300,0.5400,0.5500,0.5600,0.6000,0.6300
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,I like to be presented with choices but I do not want the decision to be made for me. ,62,0.4400,0.4700,0.4800,0.5000,0.5000,0.5100,0.5200,0.5300,0.5400,0.5600,0.5900
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","In replacing humans in simple and repetitive tasks, in searching for patterns in data and assisting with work in all areas (teaching, information, health, etc.) never in replacing decisions, but in supporting",62,0.4400,0.4500,0.4700,0.4900,0.5000,0.5100,0.5300,0.5400,0.5500,0.5800,0.6000
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Increased data privacy and open policies without any catch ,62,0.4400,0.4500,0.4900,0.5100,0.5100,0.5300,0.5300,0.5400,0.5500,0.5700,0.6000
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Do not release any personal information to third parties and keep it confidential. And be transparent about all the decisions it makes and how the decisions are made.,62,0.4400,0.4500,0.4700,0.5000,0.5300,0.5400,0.5500,0.5500,0.5700,0.5800,0.6000
