Question ID,Question Text,Response Text,Min Agreement Rate,44+,55+,Africa,Asia,Central America,Central Asia,Eastern Africa,Eastern Asia,Eastern Europe,Europe,North America,Norther Europe,Northern Africa,Northern America,O13: Equally concerned and excited,O13: More concerned than excited,O13: More excited than concerned,O2: 18-25,O2: 26-35,O2: 36-45,O2: 46-55,O2: 56-65,O3: Female,O3: Male,O4: Rural,O4: Suburban,O4: Urban,O6: Buddhism,O6: Christianity,O6: Hinduism,O6: I do not identify with any religious group or faith,O6: Islam,Oceania,South America,South Eastern Asia,Souther Asia,Southern Europe,Western Asia,Western Europe
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Be transparent about how they work.,0.5100,0.5300,0.5500,0.5600,0.5400,0.5300,0.5600,0.5300,0.5500,0.5900,0.5700,0.5500,0.5100,0.6600,0.5500,0.5700,0.5500,0.5400,0.5300,0.5600,0.5800,0.5300,0.5700,0.5600,0.5400,0.5400,0.5900,0.5400,0.5600,0.5700,0.5300,0.5500,0.5600,0.5900,0.6100,0.5300,0.5300,0.5700,0.6000,0.6300
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Better transparency in terms of storing personal data,0.4900,0.5000,0.5100,0.5500,0.5500,0.5300,0.5600,0.5500,0.6000,0.5700,0.6000,0.5100,0.6200,0.6300,0.5100,0.5600,0.5800,0.5300,0.5500,0.5700,0.5600,0.4900,0.5200,0.5800,0.5200,0.5300,0.5300,0.5600,0.5600,0.5700,0.5600,0.5200,0.5600,0.6500,0.5100,0.5000,0.5300,0.6400,0.6300,0.5800
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",tell me how secure my data is. i value my privacy.,0.4800,0.4900,0.4900,0.5900,0.5600,0.5300,0.6900,0.5700,0.5100,0.4900,0.5200,0.4900,0.4900,0.7500,0.4900,0.5400,0.5300,0.5400,0.5800,0.5400,0.5500,0.4800,0.4800,0.5500,0.5300,0.5600,0.5000,0.5600,0.5000,0.5300,0.6500,0.5000,0.5500,0.6500,0.5100,0.4900,0.5900,0.5300,0.6000,0.5800
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","Storing personal information securely, making it impossible for my data to be leaked ",0.4700,0.4900,0.5500,0.5600,0.5500,0.5300,0.5600,0.5800,0.5700,0.5900,0.5900,0.5300,0.5800,0.6300,0.5300,0.5600,0.5700,0.5400,0.5800,0.5600,0.5500,0.4700,0.5500,0.5800,0.5200,0.5700,0.5400,0.5600,0.5600,0.5700,0.5900,0.5300,0.5300,0.6500,0.5100,0.5500,0.5300,0.5500,0.5700,0.6300
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","prioritize transparent data privacy and user control

",0.4700,0.5000,0.5700,0.5800,0.5500,0.4700,0.6300,0.5600,0.5200,0.6100,0.5900,0.5000,0.5500,0.7200,0.5100,0.5400,0.5500,0.5600,0.5800,0.5600,0.5300,0.4700,0.5500,0.5600,0.5400,0.5300,0.5300,0.5600,0.5300,0.5600,0.5800,0.5100,0.5600,0.5900,0.4800,0.5300,0.5500,0.6400,0.6300,0.5800
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","Complete transparency in how they collect, use and share my data. Ability to limit data collection as much as possible. No sharing of my data with other companies and businesses.",0.4700,0.5200,0.5500,0.5600,0.5500,0.4700,0.5000,0.5300,0.6000,0.5100,0.5800,0.5100,0.6000,0.7200,0.5200,0.5600,0.5700,0.5300,0.5200,0.5600,0.5800,0.5100,0.5200,0.5600,0.5300,0.5700,0.5300,0.5500,0.5600,0.5400,0.5600,0.5500,0.5500,0.5300,0.5700,0.4700,0.5400,0.6000,0.6300,0.6000
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Transparent privacy policies and control over the data it collects of us.,0.4700,0.5000,0.5300,0.5900,0.5300,0.4700,0.6300,0.5600,0.5300,0.5700,0.5800,0.5200,0.5500,0.6900,0.5300,0.5600,0.5400,0.5300,0.5600,0.5500,0.5600,0.4900,0.5200,0.5600,0.5300,0.4900,0.5600,0.5500,0.5300,0.5600,0.5500,0.5300,0.5500,0.5300,0.5400,0.5100,0.5300,0.6200,0.6000,0.5800
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",being transparent about where my information is being shared.,0.4700,0.5200,0.5500,0.6100,0.5300,0.5300,0.6900,0.6000,0.5000,0.5700,0.5500,0.5200,0.5100,0.7200,0.5300,0.5400,0.5500,0.5500,0.5800,0.5500,0.5100,0.5100,0.5500,0.5400,0.5500,0.5600,0.5300,0.5500,0.4700,0.5700,0.5900,0.5100,0.5100,0.5300,0.5800,0.4700,0.5500,0.5700,0.5300,0.5600
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","Transparency, how to keep our data safe",0.4700,0.5100,0.4900,0.5300,0.5400,0.4700,0.5000,0.5200,0.6100,0.5900,0.5900,0.5100,0.5600,0.6600,0.5100,0.5500,0.5600,0.5300,0.5100,0.5600,0.5700,0.5200,0.5000,0.5600,0.5200,0.5100,0.5200,0.5600,0.5600,0.5600,0.5300,0.5400,0.5400,0.5900,0.5500,0.4700,0.5300,0.6000,0.6000,0.6000
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",secure my personal information,0.4700,0.4900,0.4900,0.5400,0.5300,0.5300,0.6300,0.5400,0.4900,0.5300,0.5300,0.5200,0.5100,0.6600,0.5200,0.5400,0.5000,0.5400,0.5300,0.5500,0.5500,0.4900,0.4800,0.5300,0.5400,0.6400,0.4800,0.5400,0.4700,0.5200,0.6300,0.5100,0.5100,0.5300,0.5700,0.5000,0.5600,0.5300,0.5300,0.5600
