Question ID,Question Text,Response Text,Num Valid Segments,MinAgree_100pct,MinAgree_95pct,MinAgree_90pct,MinAgree_80pct,MinAgree_70pct,MinAgree_60pct,MinAgree_50pct,MinAgree_40pct,MinAgree_30pct,MinAgree_20pct,MinAgree_10pct
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","Being transparent about the data it holds, not misusing that data   and giving me full control over the data stored.",36,0.5200,0.5200,0.5200,0.5300,0.5400,0.5500,0.5500,0.5500,0.5700,0.5900,0.6100
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Always ask permission before collecting any data about me.,36,0.5100,0.5100,0.5300,0.5400,0.5400,0.5500,0.5600,0.5600,0.5700,0.5800,0.6100
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Guarantee the privacy of the data it stores about me and allowing me full control over how it's used.,36,0.5100,0.5400,0.5400,0.5500,0.5500,0.5600,0.5600,0.5600,0.5700,0.5900,0.6200
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Be transparent with how it stores and uses my data. ,36,0.5000,0.5000,0.5100,0.5300,0.5400,0.5400,0.5500,0.5500,0.5600,0.5800,0.6000
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Be transparent about how they use my data,36,0.5000,0.5100,0.5100,0.5300,0.5400,0.5500,0.5600,0.5600,0.5800,0.5800,0.6100
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Always confirm with me before arranging anything on my behalf. ,36,0.5000,0.5100,0.5200,0.5400,0.5500,0.5600,0.5600,0.5600,0.5700,0.5800,0.5900
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",its assurance of privacy to my data,36,0.5000,0.5200,0.5300,0.5500,0.5500,0.5600,0.5600,0.5600,0.5700,0.5800,0.5900
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Be 100% transparent with my personal data,36,0.5000,0.5000,0.5000,0.5200,0.5200,0.5400,0.5400,0.5400,0.5500,0.5600,0.5800
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","To be responsible with my privacy, to not use or share at all my data with anyone ",36,0.5000,0.5000,0.5100,0.5200,0.5300,0.5400,0.5400,0.5400,0.5400,0.5600,0.6000
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Ensure that it cannot make any decisions on my behalf without my approval.  Also prove that the personal information it holds about me is truly secure.,36,0.4900,0.4900,0.5100,0.5400,0.5500,0.5600,0.5600,0.5600,0.5700,0.5800,0.5900
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Ensure that the privacy of users is paramount ,36,0.4900,0.4900,0.5200,0.5400,0.5500,0.5500,0.5600,0.5600,0.5600,0.5800,0.5800
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",strict information privacy and security.,36,0.4900,0.4900,0.5000,0.5200,0.5300,0.5400,0.5400,0.5400,0.5600,0.5600,0.5800
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Show that my data is secure and won’t be leaked or shared ,36,0.4900,0.5000,0.5100,0.5200,0.5300,0.5400,0.5400,0.5400,0.5500,0.5600,0.5700
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Make it very transparent and allow for maximum customisation for safety,36,0.4900,0.4900,0.5000,0.5100,0.5300,0.5300,0.5400,0.5400,0.5400,0.5500,0.5700
