Question ID,Question Text,Response Text,Divergence Score,Min Segment,Min Agreement,Max Segment,Max Agreement
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","They should develop an assistant that is beyond just being a tool. They should be humanlike, empathetic, helpful and respectful. The chatbot should be able to understand human nature, not just generally but how humans change on various occasions or need",0.2526,O5: Islam,0.2100,O8: Northern Ireland,0.7200
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Transparency about what information AI knows ,0.2220,O8: Northern Ireland,0.3300,O8: Prefer not to say,0.7900
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Not overstep and ask me before making important decisions,0.2198,O8: Prefer not to say,0.2900,O5: Islam,0.7300
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Ensure 100% safety. which is impossible to do,0.2062,O8: Prefer not to say,0.2500,O5: Islam,0.6700
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Be transparent about what data the AI collects and what the AI company uses that data for,0.2062,O8: Northern Ireland,0.3300,O8: Prefer not to say,0.7500
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","Transparency, I want to know how the ai has been designed and why it was built that way. I also want to know who is building it and who they answer to.",0.2062,O8: Northern Ireland,0.3300,O8: Prefer not to say,0.7500
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","Be transparent in how the AI operates, where it gets its data from and where it stores the data it collates from me.",0.2062,O8: Northern Ireland,0.3300,O8: Prefer not to say,0.7500
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Check with me before doing anything important ,0.2035,O8: Prefer not to say,0.3200,O5: Islam,0.7300
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Be integrated with academic publication and IP-sharing conventions (e.g. open-source scrutiny) and regulatory oversight.,0.2015,O8: Prefer not to say,0.3600,O5: Islam,0.7900
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Put in failsafes that can easily override the system.,0.2015,O8: Prefer not to say,0.2100,O5: Islam,0.6400
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","Help me make the correct decision, save me time, continue to get good results ",0.2015,O8: Prefer not to say,0.3600,O5: Islam,0.7900
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","Show the decision tree for each outcome, allow editing for greater accuracy",0.2015,O8: Prefer not to say,0.2100,O5: Islam,0.6400
43ce42e1-50f3-4a2a-8b48-b8add5041354,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,Making a decision I don't agree with ,0.1990,O8: Prefer not to say,0.3200,O8: Northern Ireland,0.7200
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Nothing at all...the tech is too new to trust,0.1980,"O8: East Midlands (e.g., Derbyshire, Nottinghamshire, Leicestershire, Lincolnshire)",0.3600,O8: Northern Ireland,0.7800
43ce42e1-50f3-4a2a-8b48-b8add5041354,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,Making a wrong decision..,0.1980,O5: Islam,0.3600,O8: Northern Ireland,0.7800
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",I think having strong real-world examples of how they acted when things did go wrong or faced issues. Knowing that the humans behind it will step in if something goes very wrong and won't just throw users under the bus would enable trust. Also not violating anything that is the user's decision in any way.,0.1977,O5: Islam,0.2700,O8: Northern Ireland,0.6700
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Honestly I don’t know. I can’t imagine ever trusting a robot with these things. ,0.1977,O5: Islam,0.2700,O8: Northern Ireland,0.6700
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","Show a personalised avatar (character) with realistic active listening. It can pretend to look like a doctor with the stethoscope and things. Also, they can give some statistics, and  show users their rate of accuracy.",0.1977,O5: Islam,0.2700,O8: Northern Ireland,0.6700
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Giving me the information to make an informed decision. Giving me the option to edit or delete the information it holds about me.,0.1977,O8: Northern Ireland,0.3300,O5: Islam,0.7300
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","Generally just make it feel like another human, rather than a robot. ",0.1962,O5: Islam,0.1500,O8: Northern Ireland,0.6100
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Transparency.  How is it learning and where from.,0.1934,O8: Northern Ireland,0.2800,O2: 65+,0.6700
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",that when you say I want to speak to a human that AI will not keep asking why? and that they respect your decision to put you in touch with a human agent,0.1897,O5: Islam,0.3000,O8: Prefer not to say,0.6800
43ce42e1-50f3-4a2a-8b48-b8add5041354,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,That I will misunderstand and that things will go wrong because I’ve made an error in programming…,0.1857,"O8: Yorkshire and The Humber (e.g., East Riding, North Lincolnshire, Yorkshire)",0.3500,"O8: North East England (e.g., Tees Valley, Durham, Northumberland, Tyne and Wear)",0.7300
43ce42e1-50f3-4a2a-8b48-b8add5041354,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,"That I won't get any say, and it's like I have to ask permission (like the roles ahve been reversed)

",0.1844,O5: Islam,0.3000,O8: Northern Ireland,0.6700
43ce42e1-50f3-4a2a-8b48-b8add5041354,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,That it makes decisions not based on my own best interests,0.1844,"O8: Yorkshire and The Humber (e.g., East Riding, North Lincolnshire, Yorkshire)",0.3000,O8: Northern Ireland,0.6700
43ce42e1-50f3-4a2a-8b48-b8add5041354,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,That is would make a decision that I don't agree with,0.1844,O5: Islam,0.3000,O8: Northern Ireland,0.6700
43ce42e1-50f3-4a2a-8b48-b8add5041354,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,That i haven't given all the relevant information and therefore it makes the wrong decision ,0.1844,O5: Islam,0.3000,O8: Northern Ireland,0.6700
43ce42e1-50f3-4a2a-8b48-b8add5041354,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,It makes a decision I am nor happy with.,0.1833,"O8: Yorkshire and The Humber (e.g., East Riding, North Lincolnshire, Yorkshire)",0.3800,O8: Northern Ireland,0.7800
43ce42e1-50f3-4a2a-8b48-b8add5041354,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,It is outside of my control,0.1817,"O8: Yorkshire and The Humber (e.g., East Riding, North Lincolnshire, Yorkshire)",0.3500,O8: Northern Ireland,0.7200
